pedido_sk,order_id,fecha_key,cliente_sk,canal_sk,geografia_sk,tienda_sk,subtotal,tax_amount,shipping_fee,total_amount
107,1000000129,20250917,1016,1,3040,-1,62280.0,13078.8,1500.0,76858.8
108,1000000130,20250521,595,2,3,3,12150.0,2551.5,0.0,14701.5
109,1000000131,20240125,902,2,4,4,39600.0,8316.0,0.0,47916.0
110,1000000132,20240726,317,1,2546,-1,26460.0,5556.6,1200.0,33216.6
111,1000000133,20240614,1229,2,2,2,15000.0,3150.0,0.0,18150.0
112,1000000134,20240106,279,2,3,3,62280.0,13078.8,0.0,75358.8
113,1000000135,20240530,1498,2,4,4,33000.0,6930.0,0.0,39930.0
114,1000000136,20250120,140,1,1773,-1,28500.0,5985.0,0.0,34485.0
115,1000000137,20241115,1115,1,2545,-1,11760.0,2469.6,0.0,14229.6
116,1000000138,20240103,1240,1,1704,-1,34200.0,7182.0,1500.0,42882.0
117,1000000139,20240406,590,1,1036,-1,13500.0,2835.0,1200.0,17535.0
118,1000000140,20250217,645,2,3,3,13230.0,2778.3,0.0,16008.3
119,1000000143,20240606,551,2,1,1,66600.0,13986.0,0.0,80586.0
120,1000000145,20250719,1305,1,3178,-1,30000.0,6300.0,1500.0,37800.0
121,1000000146,20240505,280,1,2731,-1,82687.5,17364.38,900.0,100951.88
122,1000000147,20241207,1338,1,1472,-1,59340.0,12461.4,900.0,72701.4
123,1000000148,20250621,84,1,2447,-1,35280.0,7408.8,1200.0,43888.8
124,1000000149,20250121,655,1,1117,-1,13500.0,2835.0,900.0,17235.0
125,1000000150,20250530,513,2,4,4,32340.0,6791.4,0.0,39131.4
126,1000000151,20240416,884,2,3,3,35280.0,7408.8,0.0,42688.8
127,1000000152,20240108,385,2,2,2,9720.0,2041.2,0.0,11761.2
128,1000000154,20240701,110,2,1,1,42525.0,8930.25,0.0,51455.25
129,1000000155,20240212,1197,1,3125,-1,12000.0,2520.0,900.0,15420.0
130,1000000156,20241029,833,2,2,2,42750.0,8977.5,0.0,51727.5
131,1000000158,20240424,905,2,1,1,30000.0,6300.0,0.0,36300.0
132,1000000159,20240714,389,1,307,-1,12348.0,2593.08,1200.0,16141.08
133,1000000160,20240613,1299,2,4,4,29400.0,6174.0,0.0,35574.0
134,1000000161,20241021,725,1,2912,-1,45000.0,9450.0,900.0,55350.0
135,1000000162,20250731,645,2,4,4,22800.0,4788.0,0.0,27588.0
136,1000000163,20240224,584,1,136,-1,21600.0,4536.0,900.0,27036.0
137,1000000164,20250222,436,1,2762,-1,63000.0,13230.0,900.0,77130.0
138,1000000165,20250827,293,1,2361,-1,23520.0,4939.2,1500.0,29959.2
139,1000000166,20250727,1065,1,2496,-1,43425.0,9119.25,1200.0,53744.25
140,1000000169,20240708,251,1,1329,-1,10800.0,2268.0,1200.0,14268.0
141,1000000170,20240329,764,2,4,4,30000.0,6300.0,0.0,36300.0
142,1000000172,20240507,181,1,1805,-1,22800.0,4788.0,900.0,28488.0
143,1000000173,20250616,693,1,1635,-1,31500.0,6615.0,1200.0,39315.0
144,1000000174,20240907,672,2,2,2,11760.0,2469.6,0.0,14229.6
145,1000000175,20240531,786,1,2161,-1,12000.0,2520.0,900.0,15420.0
146,1000000176,20250225,1347,2,2,2,14850.0,3118.5,0.0,17968.5
147,1000000177,20241123,628,1,868,-1,12825.0,2693.25,1200.0,16718.25
148,1000000178,20250503,1485,2,2,2,13500.0,2835.0,0.0,16335.0
149,1000000179,20250812,805,1,2735,-1,72600.0,15246.0,900.0,88746.0
150,1000000180,20240521,445,1,753,-1,25200.0,5292.0,1200.0,31692.0
151,1000000181,20241112,560,1,83,-1,23520.0,4939.2,900.0,29359.2
152,1000000182,20240908,403,1,2607,-1,25080.0,5266.8,1200.0,31546.8
153,1000000183,20241026,693,2,1,1,27000.0,5670.0,0.0,32670.0
154,1000000184,20250511,274,2,2,2,13500.0,2835.0,0.0,16335.0
155,1000000185,20240718,804,1,944,-1,59844.0,12567.24,1200.0,73611.24
156,1000000186,20240730,1495,1,1364,-1,11400.0,2394.0,900.0,14694.0
157,1000000188,20250823,661,2,3,3,27000.0,5670.0,0.0,32670.0
158,1000000189,20240502,984,1,1812,-1,37044.0,7779.24,900.0,45723.24
159,1000000190,20240605,1384,1,1972,-1,11760.0,2469.6,0.0,14229.6
160,1000000192,20240308,456,2,2,2,12000.0,2520.0,0.0,14520.0
161,1000000193,20240215,427,1,695,-1,32400.0,6804.0,1200.0,40404.0
162,1000000194,20250913,866,1,2574,-1,45000.0,9450.0,0.0,54450.0
163,1000000195,20250228,371,1,600,-1,45840.0,9626.4,1200.0,56666.4
164,1000000196,20250814,1000,1,1384,-1,30000.0,6300.0,1200.0,37500.0
165,1000000197,20240409,1404,1,795,-1,10800.0,2268.0,1200.0,14268.0
166,1000000198,20240203,1159,1,788,-1,29160.0,6123.6,900.0,36183.6
167,1000000199,20250319,1040,1,2797,-1,48000.0,10080.0,1200.0,59280.0
168,1000000200,20240925,464,1,2537,-1,21600.0,4536.0,900.0,27036.0
169,1000000202,20250327,1056,2,3,3,36000.0,7560.0,0.0,43560.0
170,1000000203,20241117,925,2,3,3,32400.0,6804.0,0.0,39204.0
171,1000000205,20240930,903,1,898,-1,14700.0,3087.0,0.0,17787.0
172,1000000206,20250726,70,1,1092,-1,23520.0,4939.2,1200.0,29659.2
173,1000000207,20250507,1459,1,1330,-1,12348.0,2593.08,900.0,15841.08
174,1000000208,20250411,500,2,2,2,44550.0,9355.5,0.0,53905.5
175,1000000209,20250403,361,1,1297,-1,25200.0,5292.0,1200.0,31692.0
176,1000000210,20250320,476,1,2590,-1,13500.0,2835.0,1500.0,17835.0
177,1000000212,20250218,945,1,886,-1,11760.0,2469.6,900.0,15129.6
178,1000000213,20240416,1443,1,900,-1,15750.0,3307.5,1500.0,20557.5
179,1000000214,20240719,1430,1,2687,-1,22680.0,4762.8,900.0,28342.8
180,1000000215,20240129,1330,1,1579,-1,51015.0,10713.15,900.0,62628.15
181,1000000216,20250510,274,1,506,-1,15675.0,3291.75,900.0,19866.75
182,1000000217,20240405,1251,2,2,2,59962.5,12592.12,0.0,72554.62
183,1000000218,20240704,176,1,550,-1,31860.0,6690.6,1200.0,39750.6
184,1000000219,20240612,42,2,2,2,45000.0,9450.0,0.0,54450.0
185,1000000220,20250921,582,1,1933,-1,11400.0,2394.0,900.0,14694.0
186,1000000221,20250507,4,2,1,1,23520.0,4939.2,0.0,28459.2
187,1000000222,20240830,569,2,2,2,21600.0,4536.0,0.0,26136.0
188,1000000223,20241224,157,2,1,1,22680.0,4762.8,0.0,27442.8
189,1000000224,20250322,649,1,311,-1,40500.0,8505.0,1200.0,50205.0
190,1000000225,20250805,1230,1,1403,-1,34020.0,7144.2,0.0,41164.2
191,1000000226,20240716,197,1,2867,-1,29160.0,6123.6,1200.0,36483.6
192,1000000227,20240717,731,1,2594,-1,35280.0,7408.8,1200.0,43888.8
193,1000000228,20250327,506,1,2647,-1,35280.0,7408.8,900.0,43588.8
194,1000000230,20241229,485,1,1341,-1,32400.0,6804.0,900.0,40104.0
195,1000000231,20240608,823,1,57,-1,47250.0,9922.5,900.0,58072.5
196,1000000232,20250221,680,1,1497,-1,36936.0,7756.56,1200.0,45892.56
197,1000000233,20241119,417,1,2093,-1,15000.0,3150.0,900.0,19050.0
198,1000000234,20250528,677,1,2205,-1,23520.0,4939.2,1200.0,29659.2
199,1000000236,20250104,593,2,1,1,24000.0,5040.0,0.0,29040.0
200,1000000237,20241114,606,2,1,1,36000.0,7560.0,0.0,43560.0
201,1000000238,20250322,137,2,2,2,21168.0,4445.28,0.0,25613.28
202,1000000239,20240220,487,1,1637,-1,51660.0,10848.6,900.0,63408.6
203,1000000241,20241011,179,2,1,1,59400.0,12474.0,0.0,71874.0
204,1000000243,20250608,536,1,827,-1,16500.0,3465.0,0.0,19965.0
205,1000000244,20240913,1341,2,1,1,20520.0,4309.2,0.0,24829.2
206,1000000247,20241202,757,1,3131,-1,15435.0,3241.35,900.0,19576.35
207,1000000248,20241026,522,2,4,4,10800.0,2268.0,0.0,13068.0
208,1000000249,20240419,1384,2,3,3,39600.0,8316.0,0.0,47916.0
209,1000000250,20240921,473,1,843,-1,42525.0,8930.25,1500.0,52955.25
210,1000000251,20240315,1316,2,3,3,34200.0,7182.0,0.0,41382.0
211,1000000252,20240302,1356,2,1,1,44100.0,9261.0,0.0,53361.0
212,1000000254,20241013,1359,2,2,2,21168.0,4445.28,0.0,25613.28
213,1000000255,20240813,843,1,2933,-1,14700.0,3087.0,900.0,18687.0
214,1000000256,20241001,599,1,105,-1,23520.0,4939.2,1200.0,29659.2
215,1000000257,20250530,1048,2,1,1,57900.0,12159.0,0.0,70059.0
216,1000000258,20241226,319,1,3048,-1,28500.0,5985.0,900.0,35385.0
217,1000000260,20241212,1491,1,2539,-1,33000.0,6930.0,1200.0,41130.0
218,1000000261,20250814,79,1,1366,-1,24000.0,5040.0,0.0,29040.0
219,1000000262,20241118,748,1,3055,-1,35280.0,7408.8,900.0,43588.8
220,1000000263,20241231,537,1,3146,-1,40500.0,8505.0,900.0,49905.0
221,1000000264,20250819,303,2,2,2,57645.0,12105.45,0.0,69750.45
222,1000000265,20240427,1065,1,1757,-1,52536.0,11032.56,900.0,64468.56
223,1000000266,20250507,606,1,1858,-1,39195.0,8230.95,900.0,48325.95
224,1000000267,20240229,553,1,1632,-1,27000.0,5670.0,1200.0,33870.0
225,1000000270,20240216,663,2,1,1,11760.0,2469.6,0.0,14229.6
226,1000000272,20241025,844,1,1061,-1,26400.0,5544.0,1200.0,33144.0
227,1000000273,20240301,720,1,353,-1,35280.0,7408.8,900.0,43588.8
228,1000000274,20240928,169,2,1,1,63690.0,13374.9,0.0,77064.9
229,1000000275,20240621,969,1,1858,-1,21600.0,4536.0,1200.0,27336.0
230,1000000276,20250526,268,2,4,4,24000.0,5040.0,0.0,29040.0
231,1000000277,20241014,122,2,1,1,42000.0,8820.0,0.0,50820.0
232,1000000278,20250304,617,1,2841,-1,21600.0,4536.0,1500.0,27636.0
233,1000000280,20240720,732,2,1,1,27300.0,5733.0,0.0,33033.0
234,1000000281,20250311,211,1,2122,-1,43968.0,9233.28,900.0,54101.28
235,1000000282,20241228,475,1,1567,-1,19440.0,4082.4,900.0,24422.4
236,1000000283,20250721,949,1,2712,-1,12825.0,2693.25,1200.0,16718.25
237,1000000284,20240309,426,2,2,2,58500.0,12285.0,0.0,70785.0
238,1000000286,20240711,500,1,2067,-1,29400.0,6174.0,1500.0,37074.0
239,1000000287,20250617,677,2,1,1,42750.0,8977.5,0.0,51727.5
240,1000000288,20250201,33,2,1,1,11760.0,2469.6,0.0,14229.6
241,1000000290,20241104,78,1,2789,-1,85830.0,18024.3,1500.0,105354.3
242,1000000291,20241017,102,1,1996,-1,47025.0,9875.25,0.0,56900.25
243,1000000292,20250429,1072,2,4,4,26670.0,5600.7,0.0,32270.7
244,1000000293,20250821,754,1,1359,-1,21600.0,4536.0,900.0,27036.0
245,1000000296,20240628,240,2,2,2,15000.0,3150.0,0.0,18150.0
246,1000000298,20241104,849,2,1,1,34200.0,7182.0,0.0,41382.0
247,1000000299,20240506,807,2,3,3,36000.0,7560.0,0.0,43560.0
248,1000000300,20241119,901,1,1279,-1,44160.0,9273.6,1200.0,54633.6
249,1000000301,20240506,61,1,371,-1,24000.0,5040.0,0.0,29040.0
250,1000000303,20240316,1286,2,3,3,32400.0,6804.0,0.0,39204.0
251,1000000304,20240315,1416,1,1942,-1,98077.5,20596.27,1200.0,119873.77
252,1000000305,20250413,979,1,2689,-1,25200.0,5292.0,1200.0,31692.0
253,1000000306,20240429,800,1,969,-1,69150.0,14521.5,0.0,83671.5
254,1000000307,20240912,800,1,3193,-1,13500.0,2835.0,1500.0,17835.0
255,1000000308,20240327,757,1,1366,-1,13500.0,2835.0,1500.0,17835.0
256,1000000310,20250104,673,1,1712,-1,21600.0,4536.0,1500.0,27636.0
257,1000000311,20250107,1266,2,2,2,29925.0,6284.25,0.0,36209.25
258,1000000312,20250223,7,2,2,2,29925.0,6284.25,0.0,36209.25
259,1000000313,20250519,1040,2,3,3,59250.0,12442.5,0.0,71692.5
260,1000000314,20241015,873,1,2430,-1,26760.0,5619.6,1200.0,33579.6
261,1000000315,20250505,1336,1,2185,-1,44175.0,9276.75,900.0,54351.75
262,1000000316,20250427,708,2,1,1,59175.0,12426.75,0.0,71601.75
263,1000000317,20240816,380,1,742,-1,29700.0,6237.0,1500.0,37437.0
264,1000000318,20241006,634,2,4,4,12600.0,2646.0,0.0,15246.0
265,1000000319,20240420,578,1,2483,-1,11760.0,2469.6,1200.0,15429.6
266,1000000320,20250818,1479,1,517,-1,29250.0,6142.5,1200.0,36592.5
267,1000000321,20250802,1399,1,3181,-1,77100.0,16191.0,1200.0,94491.0
268,1000000322,20241120,522,2,4,4,30780.0,6463.8,0.0,37243.8
269,1000000323,20250401,247,2,1,1,45216.0,9495.36,0.0,54711.36
270,1000000324,20250111,96,2,4,4,57696.0,12116.16,0.0,69812.16
271,1000000325,20241014,798,2,2,2,23760.0,4989.6,0.0,28749.6
272,1000000326,20240616,21,1,2820,-1,69480.0,14590.8,0.0,84070.8
273,1000000327,20250109,1236,1,1160,-1,24696.0,5186.16,1200.0,31082.16
274,1000000328,20250210,130,1,2634,-1,66975.0,14064.75,1200.0,82239.75
275,1000000329,20240315,169,1,1195,-1,35640.0,7484.4,1200.0,44324.4
276,1000000330,20241214,973,2,2,2,24000.0,5040.0,0.0,29040.0
277,1000000331,20241224,1449,1,1764,-1,55935.0,11746.35,900.0,68581.35
278,1000000332,20250917,210,1,2680,-1,50700.0,10647.0,1200.0,62547.0
279,1000000334,20250507,1350,1,1059,-1,57720.0,12121.2,1500.0,71341.2
280,1000000335,20240210,170,1,1428,-1,59910.0,12581.1,1200.0,73691.1
281,1000000336,20240719,217,1,1796,-1,38400.0,8064.0,1500.0,47964.0
282,1000000337,20240912,254,1,2438,-1,13500.0,2835.0,1500.0,17835.0
283,1000000340,20240805,1410,1,3049,-1,10800.0,2268.0,1200.0,14268.0
284,1000000341,20241221,128,2,2,2,25200.0,5292.0,0.0,30492.0
285,1000000342,20241006,499,1,601,-1,14250.0,2992.5,900.0,18142.5
286,1000000343,20240811,494,1,2683,-1,22140.0,4649.4,1200.0,27989.4
287,1000000344,20240723,755,1,2503,-1,33000.0,6930.0,1500.0,41430.0
288,1000000345,20240501,518,1,2592,-1,34020.0,7144.2,0.0,41164.2
289,1000000346,20250312,1171,2,4,4,34200.0,7182.0,0.0,41382.0
290,1000000347,20240818,1261,1,1440,-1,44100.0,9261.0,900.0,54261.0
291,1000000348,20241115,468,2,4,4,10260.0,2154.6,0.0,12414.6
292,1000000349,20240829,503,1,2651,-1,36000.0,7560.0,1200.0,44760.0
293,1000000350,20240318,1073,2,3,3,35280.0,7408.8,0.0,42688.8
294,1000000351,20240503,997,2,1,1,27000.0,5670.0,0.0,32670.0
295,1000000352,20250216,435,1,2445,-1,28350.0,5953.5,900.0,35203.5
296,1000000353,20250508,1401,2,4,4,34200.0,7182.0,0.0,41382.0
297,1000000354,20250509,202,1,1194,-1,13200.0,2772.0,1200.0,17172.0
298,1000000355,20241209,920,1,173,-1,40500.0,8505.0,1200.0,50205.0
299,1000000356,20250605,1101,1,1472,-1,44100.0,9261.0,0.0,53361.0
300,1000000357,20240229,305,1,1215,-1,11760.0,2469.6,0.0,14229.6
301,1000000358,20250708,268,1,2817,-1,28500.0,5985.0,0.0,34485.0
302,1000000359,20240709,636,2,3,3,29400.0,6174.0,0.0,35574.0
303,1000000360,20240923,736,2,4,4,51960.0,10911.6,0.0,62871.6
304,1000000361,20250119,938,1,227,-1,59160.0,12423.6,1200.0,72783.6
305,1000000362,20240814,356,1,2341,-1,36000.0,7560.0,0.0,43560.0
306,1000000363,20240607,544,1,406,-1,11400.0,2394.0,0.0,13794.0
307,1000000364,20250818,952,2,2,2,24696.0,5186.16,0.0,29882.16
308,1000000366,20250715,1183,1,449,-1,46305.0,9724.05,1500.0,57529.05
309,1000000367,20250419,1154,1,1665,-1,27000.0,5670.0,900.0,33570.0
310,1000000369,20241211,666,2,1,1,32400.0,6804.0,0.0,39204.0
311,1000000370,20250818,1010,2,2,2,29925.0,6284.25,0.0,36209.25
312,1000000371,20240115,977,1,669,-1,30000.0,6300.0,1200.0,37500.0
313,1000000372,20240821,172,1,1165,-1,11970.0,2513.7,900.0,15383.7
314,1000000373,20240218,1179,1,962,-1,12600.0,2646.0,900.0,16146.0
315,1000000374,20250414,1048,2,2,2,44100.0,9261.0,0.0,53361.0
316,1000000375,20250624,480,1,2572,-1,14175.0,2976.75,900.0,18051.75
317,1000000376,20241215,164,2,2,2,42750.0,8977.5,0.0,51727.5
318,1000000377,20240802,902,2,1,1,30000.0,6300.0,0.0,36300.0
319,1000000378,20250905,1096,1,442,-1,39690.0,8334.9,1200.0,49224.9
320,1000000379,20250615,1208,1,2804,-1,10800.0,2268.0,900.0,13968.0
321,1000000380,20240613,538,2,2,2,56640.0,11894.4,0.0,68534.4
322,1000000381,20250518,695,1,1403,-1,65520.0,13759.2,1500.0,80779.2
323,1000000382,20240621,766,1,1821,-1,30000.0,6300.0,1500.0,37800.0
324,1000000383,20241120,295,2,2,2,42525.0,8930.25,0.0,51455.25
325,1000000384,20250608,864,1,705,-1,35280.0,7408.8,0.0,42688.8
326,1000000385,20240511,314,2,2,2,75450.0,15844.5,0.0,91294.5
327,1000000386,20241023,299,2,1,1,14250.0,2992.5,0.0,17242.5
328,1000000387,20250327,786,1,1285,-1,36000.0,7560.0,1200.0,44760.0
329,1000000388,20240603,356,1,3017,-1,43500.0,9135.0,1200.0,53835.0
330,1000000389,20240503,792,1,2065,-1,10260.0,2154.6,0.0,12414.6
331,1000000390,20240316,88,1,1077,-1,15750.0,3307.5,900.0,19957.5
332,1000000392,20240815,1,2,2,2,29400.0,6174.0,0.0,35574.0
333,1000000393,20240320,803,2,3,3,11760.0,2469.6,0.0,14229.6
334,1000000394,20250731,589,1,2934,-1,38475.0,8079.75,900.0,47454.75
335,1000000395,20240601,1238,2,3,3,37044.0,7779.24,0.0,44823.24
336,1000000396,20240814,293,1,1043,-1,46980.0,9865.8,1200.0,58045.8
337,1000000397,20250705,882,1,496,-1,12000.0,2520.0,900.0,15420.0
338,1000000399,20241003,960,2,2,2,47400.0,9954.0,0.0,57354.0
339,1000000400,20250313,1084,2,1,1,12600.0,2646.0,0.0,15246.0
340,1000000401,20250624,1411,2,2,2,40500.0,8505.0,0.0,49005.0
341,1000000402,20241219,889,1,1351,-1,35640.0,7484.4,1200.0,44324.4
342,1000000403,20241214,814,1,1075,-1,45000.0,9450.0,1200.0,55650.0
343,1000000404,20250312,293,1,1501,-1,36840.0,7736.4,1500.0,46076.4
344,1000000405,20240819,1121,1,568,-1,65040.0,13658.4,1500.0,80198.4
345,1000000406,20240825,696,2,1,1,42750.0,8977.5,0.0,51727.5
346,1000000408,20241112,106,1,1901,-1,30870.0,6482.7,900.0,38252.7
347,1000000410,20250720,305,1,2334,-1,35280.0,7408.8,0.0,42688.8
348,1000000411,20241108,381,1,3108,-1,38475.0,8079.75,1200.0,47754.75
349,1000000412,20241119,176,2,3,3,23520.0,4939.2,0.0,28459.2
