nps_sk,nps_id,fecha_key,cliente_sk,canal_sk,score
58,13000000057,20241023,500,2,9
59,13000000058,20250618,1179,2,7
60,13000000059,20250405,902,2,9
61,13000000060,20240302,548,1,6
62,13000000061,20240115,1335,1,9
63,13000000062,20240724,903,1,10
64,13000000063,20250426,807,1,8
65,13000000064,20250328,43,2,7
66,13000000065,20250430,1189,2,8
67,13000000066,20240630,554,1,7
68,13000000067,20250125,1411,1,9
69,13000000068,20240218,990,1,2
70,13000000069,20240430,581,2,8
71,13000000070,20250603,1214,2,2
72,13000000071,20250604,1182,1,8
73,13000000072,20241015,56,2,9
74,13000000073,20240809,1443,1,9
75,13000000074,20240924,822,1,9
76,13000000075,20250727,18,1,7
77,13000000076,20241212,436,1,8
78,13000000077,20240815,558,2,9
79,13000000078,20250426,1202,2,9
80,13000000079,20241006,1412,2,0
81,13000000080,20250302,1336,2,6
82,13000000081,20250916,1336,1,7
83,13000000082,20241209,1224,2,10
84,13000000083,20240728,859,1,9
85,13000000084,20240128,818,1,10
86,13000000085,20241026,816,2,6
87,13000000086,20241016,653,1,9
88,13000000087,20241214,1056,1,8
89,13000000088,20240205,1037,1,7
90,13000000089,20241228,959,2,8
91,13000000090,20241228,1406,1,6
92,13000000091,20250702,1296,1,9
93,13000000092,20250815,629,1,5
94,13000000093,20240306,439,2,4
95,13000000094,20250901,1423,1,8
96,13000000095,20240529,1336,2,8
97,13000000096,20250824,1453,2,6
98,13000000097,20240807,722,1,8
99,13000000098,20240808,616,1,10
100,13000000099,20240815,1104,1,10
101,13000000100,20241017,1004,1,4
102,13000000101,20240408,304,2,9
103,13000000102,20240114,114,2,10
104,13000000103,20241008,248,2,9
105,13000000104,20240518,208,1,5
106,13000000105,20240120,445,1,10
107,13000000106,20240214,1304,2,10
108,13000000107,20240829,1493,1,7
109,13000000108,20240822,1123,1,8
110,13000000109,20250724,174,2,5
111,13000000110,20250814,825,1,8
112,13000000111,20250615,1120,2,4
113,13000000112,20240112,1101,1,3
114,13000000113,20240210,659,2,7
115,13000000114,20240123,1379,1,7
116,13000000115,20250920,550,2,9
117,13000000116,20240314,1177,1,7
118,13000000117,20250607,1149,1,9
119,13000000118,20250602,236,1,9
120,13000000119,20250203,226,1,9
121,13000000120,20250210,850,2,6
122,13000000121,20241019,599,1,8
123,13000000122,20250817,1230,2,9
124,13000000123,20250310,1177,1,7
125,13000000124,20250119,728,1,9
126,13000000125,20250125,268,2,7
127,13000000126,20241023,980,2,8
128,13000000127,20240202,902,2,5
129,13000000128,20240406,800,2,4
130,13000000129,20250421,1447,1,10
131,13000000130,20250222,130,1,7
132,13000000131,20250601,1176,2,9
133,13000000132,20250731,771,2,8
134,13000000133,20241205,158,1,0
135,13000000134,20250612,811,1,1
136,13000000135,20241004,1369,1,8
137,13000000136,20250107,131,2,8
138,13000000137,20240714,69,2,9
139,13000000138,20240727,395,1,9
140,13000000139,20250306,1106,2,6
141,13000000140,20240816,4,1,0
142,13000000141,20250716,292,1,7
143,13000000142,20250124,1467,1,5
144,13000000143,20240908,317,1,1
145,13000000144,20250705,1374,2,10
146,13000000145,20240223,607,1,6
147,13000000146,20250520,661,1,8
148,13000000147,20240530,315,1,7
149,13000000148,20241002,522,2,0
150,13000000149,20241016,697,1,2
151,13000000150,20250526,1351,1,5
152,13000000151,20250311,1209,2,9
153,13000000152,20240927,93,1,8
154,13000000153,20250707,8,2,8
155,13000000154,20250208,1487,1,8
156,13000000155,20250604,501,1,9
157,13000000156,20250705,949,1,8
158,13000000157,20250114,745,1,10
159,13000000158,20250916,58,2,8
160,13000000159,20250507,1226,1,9
161,13000000160,20240331,952,2,8
162,13000000161,20250718,1424,1,7
163,13000000162,20250921,146,1,8
164,13000000163,20250301,831,1,3
165,13000000164,20250804,991,1,0
166,13000000165,20250111,485,1,8
167,13000000166,20240812,789,2,4
168,13000000167,20240326,1456,1,1
169,13000000168,20250619,1341,2,8
170,13000000169,20241215,993,1,7
171,13000000170,20241009,710,2,8
172,13000000171,20240922,609,1,6
173,13000000172,20250708,763,1,4
174,13000000173,20250612,1356,1,1
175,13000000174,20240602,1275,2,7
176,13000000175,20250917,490,2,9
177,13000000176,20240821,523,1,9
178,13000000177,20240707,1234,2,9
179,13000000178,20240806,1163,1,8
180,13000000179,20251005,406,2,8
181,13000000180,20250710,835,1,2
182,13000000181,20250507,320,1,8
183,13000000182,20250106,414,1,7
184,13000000183,20240327,1463,1,9
185,13000000184,20240726,928,2,10
186,13000000185,20250221,643,1,9
187,13000000186,20250212,999,2,2
188,13000000187,20250629,207,1,7
189,13000000188,20250222,641,1,0
190,13000000189,20251006,1110,1,1
191,13000000190,20250524,1062,1,8
192,13000000191,20240810,698,1,1
193,13000000192,20250629,1236,1,10
194,13000000193,20240510,755,1,8
195,13000000194,20240731,329,1,7
196,13000000195,20240925,800,1,7
197,13000000196,20240130,678,1,10
198,13000000197,20240514,1383,1,10
199,13000000198,20240405,1251,1,10
200,13000000199,20240225,1252,1,7
201,13000000200,20250919,283,1,5
202,13000000201,20240714,907,2,2
203,13000000202,20241225,893,1,1
204,13000000203,20250428,413,2,8
205,13000000204,20241027,788,2,10
206,13000000205,20250831,350,2,8
207,13000000206,20240118,758,2,5
208,13000000207,20250726,699,2,10
209,13000000208,20240206,689,1,9
210,13000000209,20240424,348,1,1
211,13000000210,20250502,974,1,9
212,13000000211,20250728,444,1,7
213,13000000212,20250906,96,1,9
214,13000000213,20250119,674,1,7
215,13000000214,20241110,867,1,8
216,13000000215,20250726,686,1,7
217,13000000216,20240609,640,1,10
218,13000000217,20240810,1191,1,9
219,13000000218,20250524,321,2,5
220,13000000219,20240928,1045,1,3
221,13000000220,20240113,644,2,10
222,13000000221,20250722,514,2,8
223,13000000222,20250204,649,1,6
224,13000000223,20250822,1294,2,5
225,13000000224,20250807,814,2,4
226,13000000225,20241206,801,1,7
227,13000000226,20241208,351,1,5
228,13000000227,20241006,838,2,8
229,13000000228,20250514,78,1,6
230,13000000229,20241220,1338,1,2
231,13000000230,20240601,182,2,7
232,13000000231,20241122,560,1,4
233,13000000232,20240407,1390,1,6
234,13000000233,20241229,130,2,4
235,13000000234,20250514,1143,2,2
236,13000000235,20250418,223,2,7
237,13000000236,20240216,622,1,2
238,13000000237,20240609,1328,1,9
239,13000000238,20240227,1192,1,7
240,13000000239,20240621,119,1,2
241,13000000240,20250813,1115,1,8
242,13000000241,20240421,49,1,8
243,13000000242,20250903,1133,2,5
244,13000000243,20250716,193,1,9
245,13000000244,20240128,539,1,6
246,13000000245,20250326,200,1,7
247,13000000246,20240125,1084,1,10
248,13000000247,20240506,422,2,10
249,13000000248,20240905,348,2,6
250,13000000249,20250918,951,1,9
251,13000000250,20241126,251,2,7
252,13000000251,20250122,26,1,8
253,13000000252,20250314,1063,2,6
254,13000000253,20240202,271,1,8
255,13000000254,20250120,567,1,9
256,13000000255,20250723,254,1,9
257,13000000256,20240405,66,2,6
258,13000000257,20250105,518,1,0
259,13000000258,20240626,603,1,7
260,13000000259,20240130,321,1,4
261,13000000260,20250531,1210,2,9
262,13000000261,20250209,407,2,7
263,13000000262,20250102,996,2,9
264,13000000263,20241103,1192,2,8
265,13000000264,20240812,221,1,1
266,13000000265,20250724,1189,1,6
267,13000000266,20240723,1230,1,9
268,13000000267,20241208,244,1,6
269,13000000268,20241029,416,1,6
270,13000000269,20241021,289,2,7
271,13000000270,20240907,233,1,0
272,13000000271,20250319,300,1,7
273,13000000272,20241004,1066,1,5
274,13000000273,20240207,854,2,10
275,13000000274,20240127,1339,1,7
276,13000000275,20241227,484,1,10
277,13000000276,20240112,948,1,6
278,13000000277,20241122,713,1,6
279,13000000278,20250422,1466,1,9
280,13000000279,20250616,426,1,7
281,13000000280,20250304,1313,1,0
282,13000000281,20240716,995,1,4
283,13000000282,20250312,499,1,8
284,13000000283,20250307,1408,2,7
285,13000000284,20250311,498,1,8
286,13000000285,20241124,840,1,6
287,13000000286,20250210,92,1,9
288,13000000287,20251006,1449,2,9
289,13000000288,20250929,1129,2,7
290,13000000289,20241127,972,2,8
291,13000000290,20250917,260,2,8
292,13000000291,20240123,683,2,4
293,13000000292,20250427,1042,1,2
294,13000000293,20240307,1422,1,6
295,13000000294,20240309,1347,2,9
296,13000000295,20250218,705,2,8
297,13000000296,20250620,1306,2,10
298,13000000297,20241206,327,2,0
299,13000000298,20240313,1119,1,5
300,13000000299,20250720,2,1,10
301,13000000300,20240225,988,1,8
302,13000000301,20250708,1485,1,8
303,13000000302,20250717,791,1,8
304,13000000303,20250429,204,1,9
305,13000000304,20240504,22,2,8
306,13000000305,20250105,510,2,1
307,13000000306,20240406,614,2,9
308,13000000307,20241222,27,2,9
309,13000000308,20250721,1319,2,6
310,13000000309,20241117,845,1,9
311,13000000310,20250714,783,2,5
312,13000000311,20250826,1350,1,9
313,13000000312,20250817,773,1,7
314,13000000313,20241027,1457,1,4
315,13000000314,20241013,1488,1,9
316,13000000315,20240904,1286,1,10
317,13000000316,20250830,1306,1,9
318,13000000317,20240209,397,2,8
319,13000000318,20240330,341,1,4
320,13000000319,20250523,1475,2,9
321,13000000320,20240212,963,1,5
322,13000000321,20240614,423,1,9
323,13000000322,20240418,1176,2,9
324,13000000323,20240410,1128,2,8
325,13000000324,20250914,56,1,8
326,13000000325,20240424,389,2,5
327,13000000326,20250327,598,2,9
328,13000000327,20240602,2,2,7
329,13000000328,20250304,118,2,8
330,13000000329,20250618,835,1,10
331,13000000330,20241102,554,1,7
332,13000000331,20250930,371,1,10
333,13000000332,20250609,965,1,9
334,13000000333,20250215,687,2,6
335,13000000334,20241218,516,1,9
336,13000000335,20250506,1295,2,8
337,13000000336,20240904,660,1,4
338,13000000337,20251005,838,2,8
339,13000000338,20241011,447,2,8
340,13000000339,20240314,1187,2,4
341,13000000340,20250701,1457,1,7
342,13000000341,20241104,16,1,7
343,13000000342,20240620,1421,1,0
344,13000000343,20240813,861,1,9
345,13000000344,20241008,515,1,2
346,13000000345,20240518,280,1,10
347,13000000346,20240908,829,1,7
348,13000000347,20250721,1319,1,10
349,13000000348,20250703,682,1,10
350,13000000349,20250918,649,1,7
351,13000000350,20240803,1041,1,8
352,13000000351,20241020,559,2,9
353,13000000352,20250714,1187,2,9
354,13000000353,20250409,786,1,6
355,13000000354,20250223,1104,1,6
356,13000000355,20250730,505,2,4
357,13000000356,20241113,436,1,0
358,13000000357,20250817,366,1,5
359,13000000358,20240517,829,2,8
360,13000000359,20240411,570,1,5
361,13000000360,20240413,573,2,10
362,13000000361,20240413,63,1,8
363,13000000362,20250503,140,1,10
364,13000000363,20240307,650,2,9
365,13000000364,20240529,558,1,7
366,13000000365,20240518,498,2,9
367,13000000366,20240527,1337,2,10
368,13000000367,20250406,192,1,9
369,13000000368,20241007,523,1,1
370,13000000369,20250506,1009,1,5
371,13000000370,20250310,1079,1,8
372,13000000371,20250530,809,1,9
373,13000000372,20240205,332,1,8
374,13000000373,20241110,397,1,8
375,13000000374,20240212,950,2,8
376,13000000375,20241227,950,1,10
377,13000000376,20240310,1071,1,7
378,13000000377,20240810,27,1,5
379,13000000378,20240525,1063,1,5
380,13000000379,20240809,930,1,10
381,13000000380,20241114,1435,2,1
382,13000000381,20240408,258,2,10
383,13000000382,20240211,847,1,4
384,13000000383,20240901,921,2,10
385,13000000384,20250111,1231,1,7
386,13000000385,20250526,292,1,10
387,13000000386,20241019,325,2,3
388,13000000387,20250311,921,2,3
389,13000000388,20250524,248,1,2
390,13000000389,20240811,754,1,8
391,13000000390,20240422,708,1,9
392,13000000391,20250505,48,1,6
393,13000000392,20240505,786,2,5
394,13000000393,20240619,382,1,4
395,13000000394,20250214,895,1,6
396,13000000395,20250211,821,1,7
397,13000000396,20240315,1032,1,9
398,13000000397,20250510,1262,1,1
399,13000000398,20240821,153,1,9
400,13000000399,20250804,816,1,1
401,13000000400,20240207,237,1,7
402,13000000401,20240331,589,2,10
403,13000000402,20250814,249,2,6
404,13000000403,20241214,1130,2,2
405,13000000404,20250623,455,1,3
406,13000000405,20250323,1306,1,0
407,13000000406,20241127,1359,1,9
408,13000000407,20240918,696,1,7
409,13000000408,20240906,867,1,7
410,13000000409,20241101,690,1,10
411,13000000410,20250316,14,1,7
412,13000000411,20241212,259,2,2
413,13000000412,20240123,334,1,3
414,13000000413,20240721,574,1,9
415,13000000414,20240530,716,1,10
416,13000000415,20241216,204,2,8
417,13000000416,20250620,624,2,10
418,13000000417,20240819,535,1,9
419,13000000418,20240810,522,1,7
420,13000000419,20250415,589,1,9
421,13000000420,20250112,1485,1,9
422,13000000421,20240824,544,1,9
423,13000000422,20250104,253,1,9
424,13000000423,20240708,520,1,8
425,13000000424,20250216,1339,1,8
426,13000000425,20240510,800,1,10
427,13000000426,20240703,782,2,9
428,13000000427,20250831,488,2,3
429,13000000428,20250212,1074,1,6
430,13000000429,20241226,789,2,9
431,13000000430,20250610,951,1,3
432,13000000431,20250406,1210,1,8
433,13000000432,20250424,977,2,3
434,13000000433,20250825,489,2,8
435,13000000434,20240609,1192,2,9
436,13000000435,20241011,1461,2,5
437,13000000436,20250714,28,1,6
438,13000000437,20240714,459,2,9
439,13000000438,20240510,756,1,2
440,13000000439,20240122,1495,1,8
441,13000000440,20240307,584,1,7
442,13000000441,20251005,703,1,2
443,13000000442,20240121,1309,2,7
444,13000000443,20250601,323,2,7
445,13000000444,20250824,90,1,8
446,13000000445,20250113,761,1,5
447,13000000446,20250426,999,1,9
448,13000000447,20250405,85,1,9
449,13000000448,20250725,405,1,8
450,13000000449,20241124,336,2,2
451,13000000450,20240707,179,1,9
452,13000000451,20240506,682,2,8
453,13000000452,20250603,862,2,8
454,13000000453,20250416,1218,1,5
455,13000000454,20250610,31,1,7
456,13000000455,20250311,154,1,10
457,13000000456,20250726,1049,2,10
458,13000000457,20250607,586,1,10
459,13000000458,20240907,425,2,10
460,13000000459,20240312,1235,1,8
461,13000000460,20240522,52,1,10
462,13000000461,20250108,78,2,3
463,13000000462,20241215,405,1,7
464,13000000463,20250607,381,2,7
465,13000000464,20241002,284,1,10
466,13000000465,20240422,867,1,0
467,13000000466,20240915,626,1,8
468,13000000467,20241129,195,1,9
469,13000000468,20240604,467,1,7
470,13000000469,20250302,1107,2,7
471,13000000470,20240125,580,1,8
472,13000000471,20240402,942,2,7
473,13000000472,20250628,1354,2,10
474,13000000473,20240209,540,1,4
475,13000000474,20250723,1161,1,6
476,13000000475,20250809,895,1,8
477,13000000476,20240716,399,1,6
478,13000000477,20250808,77,1,10
479,13000000478,20250827,754,2,0
480,13000000479,20240818,1253,1,7
481,13000000480,20240717,1117,1,6
482,13000000481,20250722,413,1,6
483,13000000482,20250608,40,2,8
484,13000000483,20241009,403,1,1
485,13000000484,20240827,1482,1,6
486,13000000485,20241222,790,1,9
487,13000000486,20240822,891,1,0
488,13000000487,20250611,819,2,7
489,13000000488,20240513,474,2,9
490,13000000489,20250408,1332,1,8
491,13000000490,20250730,305,1,4
492,13000000491,20240410,400,2,7
493,13000000492,20241129,415,2,9
494,13000000493,20240117,739,2,9
495,13000000494,20241216,45,1,4
496,13000000495,20240401,584,2,8
497,13000000496,20250314,305,1,9
498,13000000497,20250828,1061,2,4
499,13000000498,20250420,1051,2,9
500,13000000499,20250818,981,1,8
501,13000000500,20240127,381,1,7
502,13000000501,20240518,866,1,2
503,13000000502,20240604,323,1,9
504,13000000503,20240504,1223,2,8
505,13000000504,20250630,728,2,3
506,13000000505,20240523,176,1,8
507,13000000506,20240327,620,1,3
508,13000000507,20241114,11,2,8
509,13000000508,20251002,866,1,5
510,13000000509,20240117,609,1,9
511,13000000510,20250210,662,1,6
512,13000000511,20250321,1304,2,3
513,13000000512,20241024,1358,1,5
514,13000000513,20241003,1396,2,8
515,13000000514,20241201,921,1,7
516,13000000515,20240325,193,2,9
517,13000000516,20250307,1366,1,7
518,13000000517,20241229,4,2,8
519,13000000518,20240402,373,1,4
520,13000000519,20250617,3,2,10
521,13000000520,20250622,156,2,2
522,13000000521,20250926,1274,2,6
523,13000000522,20250425,1200,1,9
524,13000000523,20240305,1271,2,9
525,13000000524,20250614,1089,1,10
526,13000000525,20250909,1399,2,9
527,13000000526,20240708,20,1,8
528,13000000527,20241212,874,2,9
529,13000000528,20241018,919,2,7
530,13000000529,20250803,885,1,9
531,13000000530,20240818,123,2,2
532,13000000531,20240813,301,1,10
533,13000000532,20240924,1172,1,5
534,13000000533,20240823,1334,2,7
535,13000000534,20250822,1462,2,3
536,13000000535,20241209,1393,2,8
537,13000000536,20240423,1220,1,10
538,13000000537,20250411,1355,1,0
539,13000000538,20240114,27,2,8
540,13000000539,20240701,921,1,3
541,13000000540,20240316,1469,2,9
542,13000000541,20250629,1228,1,9
543,13000000542,20240526,1123,2,7
544,13000000543,20250907,125,1,8
545,13000000544,20241017,476,1,9
546,13000000545,20250616,833,1,5
547,13000000546,20240320,253,1,10
548,13000000547,20240824,398,1,9
549,13000000548,20240119,253,2,9
550,13000000549,20240308,206,2,9
551,13000000550,20250910,899,1,8
552,13000000551,20250707,1254,1,3
553,13000000552,20250518,1317,2,10
554,13000000553,20241119,466,1,8
555,13000000554,20241119,191,1,9
556,13000000555,20240629,362,2,10
557,13000000556,20240508,263,1,7
558,13000000557,20250309,1473,2,10
559,13000000558,20240725,1494,1,10
560,13000000559,20250719,359,1,3
561,13000000560,20250726,181,1,10
562,13000000561,20250402,682,1,10
563,13000000562,20240530,1142,1,9
564,13000000563,20240518,475,1,8
565,13000000564,20241224,541,1,10
566,13000000565,20250622,1344,1,10
567,13000000566,20240726,561,2,10
568,13000000567,20240223,981,2,8
569,13000000568,20240421,311,1,7
570,13000000569,20250515,1007,2,7
571,13000000570,20250916,952,2,6
572,13000000571,20240522,1464,1,8
573,13000000572,20240619,863,2,9
574,13000000573,20250208,724,2,6
575,13000000574,20240315,612,1,7
576,13000000575,20240305,382,1,5
577,13000000576,20240114,311,1,8
578,13000000577,20251005,1041,2,9
579,13000000578,20250920,816,1,7
580,13000000579,20250924,189,2,6
581,13000000580,20240813,1133,2,0
582,13000000581,20240928,1095,1,7
583,13000000582,20250828,468,2,1
584,13000000583,20250223,416,2,1
585,13000000584,20250519,707,1,10
586,13000000585,20240419,1375,1,7
587,13000000586,20250616,689,2,7
588,13000000587,20250404,759,2,7
589,13000000588,20250421,152,2,7
590,13000000589,20250618,724,2,5
591,13000000590,20240824,495,1,6
592,13000000591,20240304,1104,1,4
593,13000000592,20240823,1158,1,0
594,13000000593,20250619,932,1,9
595,13000000594,20240905,150,1,2
596,13000000595,20240320,323,2,2
597,13000000596,20240324,536,1,5
598,13000000597,20250622,1245,1,10
599,13000000598,20250803,1284,1,6
600,13000000599,20250409,1168,1,3
601,13000000600,20240113,1346,1,10
602,13000000601,20240712,213,1,7
603,13000000602,20240709,311,2,7
604,13000000603,20240130,32,2,9
605,13000000604,20240212,606,1,7
606,13000000605,20241010,1309,2,9
607,13000000606,20240322,833,1,7
608,13000000607,20241124,1123,2,9
609,13000000608,20250731,878,2,8
610,13000000609,20250621,1317,2,8
611,13000000610,20250529,218,2,9
612,13000000611,20250927,1456,1,8
613,13000000612,20240820,987,1,9
614,13000000613,20240111,75,2,10
615,13000000614,20250501,649,2,1
616,13000000615,20250514,1095,1,6
617,13000000616,20240206,1136,2,9
618,13000000617,20240610,1046,1,7
619,13000000618,20240830,1339,2,8
620,13000000619,20250323,724,1,3
621,13000000620,20250814,32,2,0
622,13000000621,20240622,728,1,8
623,13000000622,20250711,299,1,7
624,13000000623,20250112,299,1,5
625,13000000624,20250412,404,1,7
626,13000000625,20250421,138,2,10
627,13000000626,20250410,1270,1,9
628,13000000627,20240514,1116,1,7
629,13000000628,20240816,239,1,5
630,13000000629,20240706,849,2,10
631,13000000630,20240824,1432,2,9
632,13000000631,20241217,109,2,0
633,13000000632,20240113,117,2,9
634,13000000633,20250402,1007,2,2
635,13000000634,20241121,473,2,9
636,13000000635,20250430,188,1,9
637,13000000636,20250306,960,1,9
638,13000000637,20240320,298,1,9
639,13000000638,20250912,1146,1,10
640,13000000639,20241007,790,1,10
641,13000000640,20240509,114,1,10
642,13000000641,20250424,778,1,8
643,13000000642,20250530,1380,1,2
644,13000000643,20251002,1265,2,8
645,13000000644,20250316,171,1,7
646,13000000645,20250502,384,1,6
647,13000000646,20250407,917,1,9
648,13000000647,20250706,1262,2,0
649,13000000648,20240918,1174,1,6
650,13000000649,20240128,312,1,10
651,13000000650,20241226,1107,1,6
652,13000000651,20240725,786,1,8
653,13000000652,20250406,956,1,6
654,13000000653,20250322,227,2,7
655,13000000654,20240527,1339,1,9
656,13000000655,20250202,79,1,6
657,13000000656,20240603,515,1,9
658,13000000657,20250324,1098,1,8
659,13000000658,20240922,254,1,6
660,13000000659,20250517,1459,1,1
661,13000000660,20250609,688,2,8
662,13000000661,20240310,1356,2,7
663,13000000662,20240119,1409,2,1
664,13000000663,20241104,512,1,9
665,13000000664,20250409,284,1,7
666,13000000665,20250418,79,2,2
667,13000000666,20250928,1246,1,7
668,13000000667,20250426,343,2,7
669,13000000668,20250330,387,1,7
670,13000000669,20240214,682,2,8
671,13000000670,20250328,778,1,7
672,13000000671,20250517,507,1,6
673,13000000672,20240226,640,1,10
674,13000000673,20250415,1249,1,7
675,13000000674,20240817,958,1,8
676,13000000675,20240307,1259,1,7
677,13000000676,20240329,1441,1,10
678,13000000677,20250713,379,2,9
679,13000000678,20241227,115,1,7
680,13000000679,20240123,1496,2,8
681,13000000680,20240310,1435,1,7
682,13000000681,20240527,1271,1,3
683,13000000682,20240422,643,1,9
684,13000000683,20250113,1006,2,6
685,13000000684,20240621,672,1,10
686,13000000685,20250114,439,1,0
687,13000000686,20240306,928,1,1
688,13000000687,20240329,705,1,6
689,13000000688,20250812,717,2,8
690,13000000689,20240127,622,2,7
691,13000000690,20240601,90,2,7
692,13000000691,20250409,1101,2,10
693,13000000692,20241101,1362,1,9
694,13000000693,20241020,644,2,9
695,13000000694,20250919,265,1,9
696,13000000695,20250408,506,1,8
697,13000000696,20250414,737,1,0
698,13000000697,20240924,1294,1,10
699,13000000698,20250508,204,1,8
700,13000000699,20241014,1246,1,10
701,13000000700,20240801,314,1,1
702,13000000701,20250819,614,2,10
703,13000000702,20250122,497,2,8
704,13000000703,20240622,1267,2,8
705,13000000704,20240426,768,1,8
706,13000000705,20240819,886,2,3
707,13000000706,20240128,1173,1,1
708,13000000707,20250718,561,1,10
709,13000000708,20240212,59,2,10
710,13000000709,20250502,951,2,6
711,13000000710,20241128,790,1,9
712,13000000711,20250809,412,1,6
713,13000000712,20240227,1250,2,3
714,13000000713,20250113,146,1,9
715,13000000714,20240816,670,2,9
716,13000000715,20240303,595,1,9
717,13000000716,20241110,1027,1,9
718,13000000717,20240808,1183,2,9
719,13000000718,20250729,655,1,9
720,13000000719,20240410,287,1,9
721,13000000720,20250726,489,2,10
722,13000000721,20250717,897,1,9
723,13000000722,20240227,1094,1,7
724,13000000723,20241220,713,2,7
725,13000000724,20241020,1222,2,6
726,13000000725,20250724,176,1,7
727,13000000726,20241217,1373,2,9
728,13000000727,20240811,613,2,3
729,13000000728,20240206,1082,2,9
730,13000000729,20250611,790,1,5
731,13000000730,20240907,173,1,9
732,13000000731,20250903,800,1,5
733,13000000732,20250224,1014,2,0
734,13000000733,20240116,719,1,8
735,13000000734,20250403,1247,2,7
736,13000000735,20241226,882,1,8
737,13000000736,20250213,281,1,7
738,13000000737,20241025,1014,2,6
739,13000000738,20241020,621,1,4
740,13000000739,20250608,441,1,7
741,13000000740,20240522,1062,2,9
742,13000000741,20250821,952,1,10
743,13000000742,20240704,496,1,6
744,13000000743,20240612,338,1,5
745,13000000744,20240522,192,1,7
746,13000000745,20240422,292,1,10
747,13000000746,20250521,483,2,10
748,13000000747,20250506,1356,1,3
749,13000000748,20250904,1234,2,8
750,13000000749,20250919,359,1,9
751,13000000750,20240309,671,1,8
752,13000000751,20240504,595,2,9
753,13000000752,20250530,1405,2,7
754,13000000753,20250118,1230,1,5
755,13000000754,20251005,173,1,7
756,13000000755,20250221,130,2,0
757,13000000756,20240909,1134,1,9
758,13000000757,20250525,132,1,8
759,13000000758,20240610,74,2,0
760,13000000759,20240417,147,2,5
761,13000000760,20250408,791,1,10
762,13000000761,20240728,849,1,10
763,13000000762,20240305,84,1,8
764,13000000763,20250917,1313,2,7
765,13000000764,20250804,930,2,9
766,13000000765,20240708,160,2,3
767,13000000766,20250918,1128,2,10
768,13000000767,20250413,1029,1,8
769,13000000768,20240809,185,1,10
770,13000000769,20240609,1144,2,8
771,13000000770,20240815,930,1,6
772,13000000771,20250908,774,1,10
773,13000000772,20240822,688,2,1
774,13000000773,20240409,433,1,9
775,13000000774,20250321,249,1,9
776,13000000775,20250303,279,2,0
777,13000000776,20240906,1452,1,9
778,13000000777,20240117,1223,2,8
779,13000000778,20241005,1385,1,10
780,13000000779,20250808,722,1,9
781,13000000780,20240530,1085,2,6
782,13000000781,20250816,378,1,3
783,13000000782,20241202,54,1,3
784,13000000783,20240621,727,2,6
785,13000000784,20250526,1398,1,9
786,13000000785,20250916,1406,1,4
787,13000000786,20250426,591,1,10
788,13000000787,20240402,10,2,9
789,13000000788,20240908,877,1,2
790,13000000789,20241128,522,2,8
791,13000000790,20240826,203,2,7
792,13000000791,20241027,1049,2,10
793,13000000792,20250928,855,2,8
794,13000000793,20240122,584,1,7
795,13000000794,20240823,1387,2,5
796,13000000795,20241206,571,1,10
797,13000000796,20250609,791,2,6
798,13000000797,20241222,106,2,7
799,13000000798,20240429,1114,2,10
800,13000000799,20241229,397,1,5
801,13000000800,20250519,46,2,9
802,13000000801,20241228,1260,2,8
803,13000000802,20241107,1473,2,6
804,13000000803,20250425,582,1,10
