pago_sk,payment_id,order_id,fecha_key,method,status,amount
116,7000000115,1000000115,20240219,CARD,REFUNDED,27636.0
117,7000000116,1000000116,20240704,CARD,PAID,49116.0
118,7000000117,1000000117,20250120,CARD,PAID,30240.0
119,7000000118,1000000118,20250818,CARD,PAID,47857.68
120,7000000119,1000000119,20250716,CARD,PAID,17787.0
121,7000000120,1000000120,20240421,CARD,PAID,14229.6
122,7000000121,1000000121,20241220,TRANSFER,PAID,45520.2
123,7000000122,1000000122,20250830,CASH,PAID,43560.0
124,7000000123,1000000123,0,CARD,FAILED,18987.0
125,7000000124,1000000124,20240206,GATEWAY,PAID,67367.64
126,7000000125,1000000125,20240711,TRANSFER,PAID,62073.0
127,7000000126,1000000126,20240612,CASH,PAID,18150.0
128,7000000127,1000000127,20240229,CARD,PAID,69988.5
129,7000000128,1000000128,0,CARD,FAILED,101470.2
130,7000000129,1000000129,20250920,CARD,PAID,76858.8
131,7000000130,1000000130,20250523,CASH,PAID,14701.5
132,7000000131,1000000131,20240125,CASH,PAID,47916.0
133,7000000132,1000000132,20240728,CARD,PAID,33216.6
134,7000000133,1000000133,20240616,TRANSFER,PAID,18150.0
135,7000000134,1000000134,20240108,CASH,PAID,75358.8
136,7000000135,1000000135,20240601,CASH,PAID,39930.0
137,7000000136,1000000136,20250122,CARD,PAID,34485.0
138,7000000137,1000000137,20241118,GATEWAY,PAID,14229.6
139,7000000138,1000000138,20240106,CARD,PAID,42882.0
140,7000000139,1000000139,20240408,CARD,PAID,17535.0
141,7000000140,1000000140,20250220,CASH,PAID,16008.3
142,7000000141,1000000141,20241203,TRANSFER,REFUNDED,14374.8
143,7000000142,1000000142,20250626,CARD,REFUNDED,62854.26
144,7000000143,1000000143,20240608,CARD,PAID,80586.0
145,7000000144,1000000144,0,CARD,FAILED,35937.0
146,7000000145,1000000145,20250721,GATEWAY,PAID,37800.0
147,7000000146,1000000146,20240505,CARD,PAID,100951.88
148,7000000147,1000000147,20241208,CARD,PAID,72701.4
149,7000000148,1000000148,20250624,CARD,PAID,43888.8
150,7000000149,1000000149,20250123,GATEWAY,PAID,17235.0
151,7000000150,1000000150,20250531,CARD,PAID,39131.4
152,7000000151,1000000151,20240417,CARD,PAID,42688.8
153,7000000152,1000000152,20240109,CARD,PAID,11761.2
154,7000000153,1000000153,0,CARD,FAILED,13068.0
155,7000000154,1000000154,20240702,CASH,PAID,51455.25
156,7000000155,1000000155,20240212,CARD,PAID,15420.0
157,7000000156,1000000156,20241029,CASH,PAID,51727.5
158,7000000157,1000000157,0,TRANSFER,FAILED,71692.5
159,7000000158,1000000158,20240425,CARD,PAID,36300.0
160,7000000159,1000000159,20240714,CARD,PAID,16141.08
161,7000000160,1000000160,20240614,TRANSFER,PAID,35574.0
162,7000000161,1000000161,20241022,GATEWAY,PAID,55350.0
163,7000000162,1000000162,20250801,CARD,PAID,27588.0
164,7000000163,1000000163,20240227,CARD,PAID,27036.0
165,7000000164,1000000164,20250223,CARD,PAID,77130.0
166,7000000165,1000000165,20250828,GATEWAY,PAID,29959.2
167,7000000166,1000000166,20250729,GATEWAY,PAID,53744.25
168,7000000167,1000000167,0,CARD,FAILED,58172.85
169,7000000168,1000000168,0,CARD,FAILED,50205.0
170,7000000169,1000000169,20240709,GATEWAY,PAID,14268.0
171,7000000170,1000000170,20240329,TRANSFER,PAID,36300.0
172,7000000171,1000000171,0,CARD,PENDING,15429.6
173,7000000172,1000000172,20240507,GATEWAY,PAID,28488.0
174,7000000173,1000000173,20250618,CARD,PAID,39315.0
175,7000000174,1000000174,20240908,TRANSFER,PAID,14229.6
176,7000000175,1000000175,20240602,GATEWAY,PAID,15420.0
177,7000000176,1000000176,20250227,CASH,PAID,17968.5
178,7000000177,1000000177,20241125,CARD,PAID,16718.25
179,7000000178,1000000178,20250504,CARD,PAID,16335.0
180,7000000179,1000000179,20250813,GATEWAY,PAID,88746.0
181,7000000180,1000000180,20240522,GATEWAY,PAID,31692.0
182,7000000181,1000000181,20241113,CARD,PAID,29359.2
183,7000000182,1000000182,20240910,GATEWAY,PAID,31546.8
184,7000000183,1000000183,20241028,TRANSFER,PAID,32670.0
185,7000000184,1000000184,20250513,CASH,PAID,16335.0
186,7000000185,1000000185,20240720,CARD,PAID,73611.24
187,7000000186,1000000186,20240731,GATEWAY,PAID,14694.0
188,7000000187,1000000187,20250214,CARD,REFUNDED,39204.0
189,7000000188,1000000188,20250825,CARD,PAID,32670.0
190,7000000189,1000000189,20240504,GATEWAY,PAID,45723.24
191,7000000190,1000000190,20240606,CARD,PAID,14229.6
192,7000000191,1000000191,0,CARD,FAILED,106896.24
193,7000000192,1000000192,20240310,CASH,PAID,14520.0
194,7000000193,1000000193,20240215,CARD,PAID,40404.0
195,7000000194,1000000194,20250915,GATEWAY,PAID,54450.0
196,7000000195,1000000195,20250301,CARD,PAID,56666.4
197,7000000196,1000000196,20250817,GATEWAY,PAID,37500.0
198,7000000197,1000000197,20240410,GATEWAY,PAID,14268.0
199,7000000198,1000000198,20240203,CARD,PAID,36183.6
200,7000000199,1000000199,20250320,GATEWAY,PAID,59280.0
201,7000000200,1000000200,20240927,GATEWAY,PAID,27036.0
202,7000000201,1000000201,20241117,GATEWAY,REFUNDED,50749.5
203,7000000202,1000000202,20250329,CARD,PAID,43560.0
204,7000000203,1000000203,20241118,CARD,PAID,39204.0
205,7000000204,1000000204,0,GATEWAY,FAILED,50205.0
206,7000000205,1000000205,20241001,CARD,PAID,17787.0
207,7000000206,1000000206,20250728,CARD,PAID,29659.2
208,7000000207,1000000207,20250509,GATEWAY,PAID,15841.08
209,7000000208,1000000208,20250414,CASH,PAID,53905.5
210,7000000209,1000000209,20250404,CARD,PAID,31692.0
211,7000000210,1000000210,20250321,CARD,PAID,17835.0
212,7000000211,1000000211,20250720,CASH,REFUNDED,80803.8
213,7000000212,1000000212,20250219,CARD,PAID,15129.6
214,7000000213,1000000213,20240418,GATEWAY,PAID,20557.5
215,7000000214,1000000214,20240722,GATEWAY,PAID,28342.8
216,7000000215,1000000215,20240201,CARD,PAID,62628.15
217,7000000216,1000000216,20250512,GATEWAY,PAID,19866.75
218,7000000217,1000000217,20240407,CARD,PAID,72554.62
219,7000000218,1000000218,20240707,CARD,PAID,39750.6
220,7000000219,1000000219,20240612,CASH,PAID,54450.0
221,7000000220,1000000220,20250921,CARD,PAID,14694.0
222,7000000221,1000000221,20250507,CARD,PAID,28459.2
223,7000000222,1000000222,20240831,CARD,PAID,26136.0
224,7000000223,1000000223,20241224,CASH,PAID,27442.8
225,7000000224,1000000224,20250323,CARD,PAID,50205.0
226,7000000225,1000000225,20250807,CARD,PAID,41164.2
227,7000000226,1000000226,20240718,CARD,PAID,36483.6
228,7000000227,1000000227,20240720,GATEWAY,PAID,43888.8
229,7000000228,1000000228,20250330,CARD,PAID,43588.8
230,7000000229,1000000229,0,CARD,FAILED,16335.0
231,7000000230,1000000230,20241230,GATEWAY,PAID,40104.0
232,7000000231,1000000231,20240610,GATEWAY,PAID,58072.5
233,7000000232,1000000232,20250222,GATEWAY,PAID,45892.56
234,7000000233,1000000233,20241122,CARD,PAID,19050.0
235,7000000234,1000000234,20250530,CARD,PAID,29659.2
236,7000000235,1000000235,0,CASH,FAILED,26136.0
237,7000000236,1000000236,20250106,CASH,PAID,29040.0
238,7000000237,1000000237,20241117,CASH,PAID,43560.0
239,7000000238,1000000238,20250324,CASH,PAID,25613.28
240,7000000239,1000000239,20240221,GATEWAY,PAID,63408.6
241,7000000240,1000000240,20241022,CARD,REFUNDED,48090.0
242,7000000241,1000000241,20241012,CASH,PAID,71874.0
243,7000000242,1000000242,0,GATEWAY,FAILED,46023.24
244,7000000243,1000000243,20250610,CARD,PAID,19965.0
245,7000000244,1000000244,20240914,CARD,PAID,24829.2
246,7000000245,1000000245,20250509,CASH,REFUNDED,48823.5
247,7000000246,1000000246,0,GATEWAY,FAILED,74596.5
248,7000000247,1000000247,20241202,GATEWAY,PAID,19576.35
249,7000000248,1000000248,20241028,TRANSFER,PAID,13068.0
250,7000000249,1000000249,20240421,CASH,PAID,47916.0
251,7000000250,1000000250,20240924,CARD,PAID,52955.25
252,7000000251,1000000251,20240317,CASH,PAID,41382.0
253,7000000252,1000000252,20240302,CASH,PAID,53361.0
254,7000000253,1000000253,20250426,GATEWAY,REFUNDED,56018.16
255,7000000254,1000000254,20241014,TRANSFER,PAID,25613.28
256,7000000255,1000000255,20240814,GATEWAY,PAID,18687.0
257,7000000256,1000000256,20241001,GATEWAY,PAID,29659.2
258,7000000257,1000000257,20250601,CARD,PAID,70059.0
259,7000000258,1000000258,20241229,CARD,PAID,35385.0
260,7000000259,1000000259,20250907,GATEWAY,REFUNDED,32805.12
261,7000000260,1000000260,20241213,CARD,PAID,41130.0
262,7000000261,1000000261,20250815,CARD,PAID,29040.0
263,7000000262,1000000262,20241120,CARD,PAID,43588.8
264,7000000263,1000000263,20250101,CARD,PAID,49905.0
265,7000000264,1000000264,20250820,CARD,PAID,69750.45
266,7000000265,1000000265,20240429,GATEWAY,PAID,64468.56
267,7000000266,1000000266,20250508,GATEWAY,PAID,48325.95
268,7000000267,1000000267,20240301,CARD,PAID,33870.0
269,7000000268,1000000268,0,CARD,FAILED,13794.0
270,7000000269,1000000269,0,CARD,FAILED,83617.05
271,7000000270,1000000270,20240216,CASH,PAID,14229.6
272,7000000271,1000000271,20240213,CARD,REFUNDED,87448.8
273,7000000272,1000000272,20241027,GATEWAY,PAID,33144.0
274,7000000273,1000000273,20240302,CARD,PAID,43588.8
275,7000000274,1000000274,20240928,CARD,PAID,77064.9
276,7000000275,1000000275,20240624,GATEWAY,PAID,27336.0
277,7000000276,1000000276,20250528,CARD,PAID,29040.0
278,7000000277,1000000277,20241014,CARD,PAID,50820.0
279,7000000278,1000000278,20250306,GATEWAY,PAID,27636.0
280,7000000279,1000000279,0,GATEWAY,FAILED,54261.0
281,7000000280,1000000280,20240722,CARD,PAID,33033.0
282,7000000281,1000000281,20250312,CARD,PAID,54101.28
283,7000000282,1000000282,20241229,GATEWAY,PAID,24422.4
284,7000000283,1000000283,20250723,CARD,PAID,16718.25
285,7000000284,1000000284,20240310,CARD,PAID,70785.0
286,7000000285,1000000285,0,CARD,FAILED,19350.0
287,7000000286,1000000286,20240713,CARD,PAID,37074.0
288,7000000287,1000000287,20250618,CASH,PAID,51727.5
289,7000000288,1000000288,20250202,CASH,PAID,14229.6
290,7000000289,1000000289,0,CARD,FAILED,90389.1
291,7000000290,1000000290,20241105,GATEWAY,PAID,105354.3
292,7000000291,1000000291,20241020,GATEWAY,PAID,56900.25
293,7000000292,1000000292,20250430,CARD,PAID,32270.7
294,7000000293,1000000293,20250822,CARD,PAID,27036.0
295,7000000294,1000000294,0,CARD,FAILED,44460.0
296,7000000295,1000000295,20250328,TRANSFER,REFUNDED,24829.2
297,7000000296,1000000296,20240630,CASH,PAID,18150.0
298,7000000297,1000000297,20250813,CASH,REFUNDED,53361.0
299,7000000298,1000000298,20241106,CASH,PAID,41382.0
300,7000000299,1000000299,20240508,CARD,PAID,43560.0
301,7000000300,1000000300,20241119,GATEWAY,PAID,54633.6
302,7000000301,1000000301,20240507,GATEWAY,PAID,29040.0
303,7000000302,1000000302,0,GATEWAY,FAILED,69507.0
304,7000000303,1000000303,20240319,CARD,PAID,39204.0
305,7000000304,1000000304,20240318,CARD,PAID,119873.77
306,7000000305,1000000305,20250415,CARD,PAID,31692.0
307,7000000306,1000000306,20240501,CARD,PAID,83671.5
308,7000000307,1000000307,20240913,CARD,PAID,17835.0
309,7000000308,1000000308,20240329,GATEWAY,PAID,17835.0
310,7000000309,1000000309,0,CASH,FAILED,45738.0
311,7000000310,1000000310,20250104,GATEWAY,PAID,27636.0
312,7000000311,1000000311,20250110,CARD,PAID,36209.25
313,7000000312,1000000312,20250224,CASH,PAID,36209.25
314,7000000313,1000000313,20250522,CARD,PAID,71692.5
315,7000000314,1000000314,20241017,GATEWAY,PAID,33579.6
316,7000000315,1000000315,20250506,CARD,PAID,54351.75
317,7000000316,1000000316,20250429,CARD,PAID,71601.75
318,7000000317,1000000317,20240818,CARD,PAID,37437.0
319,7000000318,1000000318,20241007,CARD,PAID,15246.0
320,7000000319,1000000319,20240422,CARD,PAID,15429.6
321,7000000320,1000000320,20250820,CARD,PAID,36592.5
322,7000000321,1000000321,20250805,GATEWAY,PAID,94491.0
323,7000000322,1000000322,20241121,CASH,PAID,37243.8
324,7000000323,1000000323,20250404,CARD,PAID,54711.36
325,7000000324,1000000324,20250113,CASH,PAID,69812.16
326,7000000325,1000000325,20241017,CARD,PAID,28749.6
327,7000000326,1000000326,20240618,CARD,PAID,84070.8
328,7000000327,1000000327,20250109,CARD,PAID,31082.16
329,7000000328,1000000328,20250211,GATEWAY,PAID,82239.75
330,7000000329,1000000329,20240317,CARD,PAID,44324.4
331,7000000330,1000000330,20241216,CASH,PAID,29040.0
332,7000000331,1000000331,20241227,CARD,PAID,68581.35
333,7000000332,1000000332,20250918,GATEWAY,PAID,62547.0
334,7000000333,1000000333,0,GATEWAY,FAILED,16552.56
335,7000000334,1000000334,20250508,GATEWAY,PAID,71341.2
336,7000000335,1000000335,20240213,CARD,PAID,73691.1
337,7000000336,1000000336,20240721,GATEWAY,PAID,47964.0
338,7000000337,1000000337,20240913,CARD,PAID,17835.0
339,7000000338,1000000338,20240325,GATEWAY,REFUNDED,47146.2
340,7000000339,1000000339,0,GATEWAY,FAILED,54561.0
341,7000000340,1000000340,20240807,GATEWAY,PAID,14268.0
342,7000000341,1000000341,20241223,CASH,PAID,30492.0
343,7000000342,1000000342,20241009,CARD,PAID,18142.5
344,7000000343,1000000343,20240813,CARD,PAID,27989.4
345,7000000344,1000000344,20240724,GATEWAY,PAID,41430.0
346,7000000345,1000000345,20240502,CARD,PAID,41164.2
347,7000000346,1000000346,20250314,TRANSFER,PAID,41382.0
348,7000000347,1000000347,20240820,CARD,PAID,54261.0
349,7000000348,1000000348,20241116,CASH,PAID,12414.6
350,7000000349,1000000349,20240829,CARD,PAID,44760.0
351,7000000350,1000000350,20240320,CASH,PAID,42688.8
352,7000000351,1000000351,20240504,CARD,PAID,32670.0
353,7000000352,1000000352,20250216,CARD,PAID,35203.5
354,7000000353,1000000353,20250510,CASH,PAID,41382.0
355,7000000354,1000000354,20250510,CARD,PAID,17172.0
356,7000000355,1000000355,20241211,CARD,PAID,50205.0
357,7000000356,1000000356,20250607,GATEWAY,PAID,53361.0
358,7000000357,1000000357,20240301,CARD,PAID,14229.6
359,7000000358,1000000358,20250709,CARD,PAID,34485.0
360,7000000359,1000000359,20240709,TRANSFER,PAID,35574.0
361,7000000360,1000000360,20240926,CASH,PAID,62871.6
362,7000000361,1000000361,20250119,GATEWAY,PAID,72783.6
363,7000000362,1000000362,20240816,CARD,PAID,43560.0
364,7000000363,1000000363,20240609,CARD,PAID,13794.0
365,7000000364,1000000364,20250819,CASH,PAID,29882.16
366,7000000365,1000000365,20250822,CARD,REFUNDED,81486.0
367,7000000366,1000000366,20250717,CARD,PAID,57529.05
368,7000000367,1000000367,20250420,GATEWAY,PAID,33570.0
369,7000000368,1000000368,0,CARD,FAILED,27336.0
370,7000000369,1000000369,20241213,CARD,PAID,39204.0
371,7000000370,1000000370,20250820,CASH,PAID,36209.25
372,7000000371,1000000371,20240117,GATEWAY,PAID,37500.0
373,7000000372,1000000372,20240823,GATEWAY,PAID,15383.7
374,7000000373,1000000373,20240219,GATEWAY,PAID,16146.0
375,7000000374,1000000374,20250417,CARD,PAID,53361.0
376,7000000375,1000000375,20250624,GATEWAY,PAID,18051.75
377,7000000376,1000000376,20241217,CASH,PAID,51727.5
378,7000000377,1000000377,20240805,CARD,PAID,36300.0
379,7000000378,1000000378,20250906,GATEWAY,PAID,49224.9
380,7000000379,1000000379,20250618,GATEWAY,PAID,13968.0
381,7000000380,1000000380,20240614,TRANSFER,PAID,68534.4
382,7000000381,1000000381,20250519,CARD,PAID,80779.2
383,7000000382,1000000382,20240623,CARD,PAID,37800.0
384,7000000383,1000000383,20241123,CARD,PAID,51455.25
385,7000000384,1000000384,20250610,GATEWAY,PAID,42688.8
386,7000000385,1000000385,20240513,TRANSFER,PAID,91294.5
387,7000000386,1000000386,20241025,CASH,PAID,17242.5
388,7000000387,1000000387,20250330,GATEWAY,PAID,44760.0
389,7000000388,1000000388,20240604,GATEWAY,PAID,53835.0
390,7000000389,1000000389,20240506,CARD,PAID,12414.6
391,7000000390,1000000390,20240317,CARD,PAID,19957.5
392,7000000391,1000000391,20240208,CARD,REFUNDED,17235.0
393,7000000392,1000000392,20240816,CASH,PAID,35574.0
394,7000000393,1000000393,20240321,CARD,PAID,14229.6
395,7000000394,1000000394,20250731,GATEWAY,PAID,47454.75
396,7000000395,1000000395,20240602,CASH,PAID,44823.24
397,7000000396,1000000396,20240814,GATEWAY,PAID,58045.8
398,7000000397,1000000397,20250706,CARD,PAID,15420.0
399,7000000398,1000000398,20240329,CARD,REFUNDED,80188.8
400,7000000399,1000000399,20241004,CASH,PAID,57354.0
401,7000000400,1000000400,20250313,CASH,PAID,15246.0
402,7000000401,1000000401,20250627,TRANSFER,PAID,49005.0
403,7000000402,1000000402,20241220,CARD,PAID,44324.4
404,7000000403,1000000403,20241216,CARD,PAID,55650.0
405,7000000404,1000000404,20250313,GATEWAY,PAID,46076.4
406,7000000405,1000000405,20240820,GATEWAY,PAID,80198.4
407,7000000406,1000000406,20240825,CASH,PAID,51727.5
408,7000000407,1000000407,0,CARD,FAILED,31036.5
409,7000000408,1000000408,20241113,CARD,PAID,38252.7
410,7000000409,1000000409,0,CARD,FAILED,39204.0
411,7000000410,1000000410,20250721,CARD,PAID,42688.8
412,7000000411,1000000411,20241110,CARD,PAID,47754.75
413,7000000412,1000000412,20241121,TRANSFER,PAID,28459.2
414,7000000413,1000000413,0,CARD,FAILED,29040.0
415,7000000414,1000000414,20250514,GATEWAY,PAID,48634.5
416,7000000415,1000000415,20250501,CARD,PAID,17787.0
417,7000000416,1000000416,0,CARD,FAILED,39131.4
418,7000000417,1000000417,20240331,TRANSFER,PAID,31944.0
419,7000000418,1000000418,20240629,CARD,REFUNDED,47364.0
420,7000000419,1000000419,20240324,GATEWAY,PAID,79436.1
421,7000000420,1000000420,20241211,CARD,PAID,13794.0
422,7000000421,1000000421,20240902,CARD,PAID,40404.0
423,7000000422,1000000422,20250224,CARD,PAID,68055.0
424,7000000423,1000000423,20250610,CASH,PAID,28459.2
425,7000000424,1000000424,20240711,CARD,PAID,15429.6
426,7000000425,1000000425,20250929,CASH,PAID,12806.64
427,7000000426,1000000426,20240711,CARD,PAID,43560.0
428,7000000427,1000000427,20240707,GATEWAY,PAID,43160.7
429,7000000428,1000000428,0,CARD,FAILED,36474.0
430,7000000429,1000000429,20250413,CARD,PAID,71220.6
431,7000000430,1000000430,20250130,CARD,PAID,46638.0
432,7000000431,1000000431,20250907,CARD,PAID,42664.2
433,7000000432,1000000432,20240122,CARD,PAID,47020.2
434,7000000433,1000000433,20250112,GATEWAY,PAID,14268.0
435,7000000434,1000000434,20240412,CARD,REFUNDED,30540.0
436,7000000435,1000000435,20240519,CARD,PAID,72193.2
437,7000000436,1000000436,20240818,CASH,PAID,43560.0
438,7000000437,1000000437,20241101,CARD,PAID,51727.5
439,7000000438,1000000438,20250503,TRANSFER,PAID,58697.1
440,7000000439,1000000439,20240104,CARD,PAID,27588.0
441,7000000440,1000000440,20241030,CARD,PAID,73616.4
442,7000000441,1000000441,20240320,GATEWAY,PAID,46323.24
443,7000000442,1000000442,20240525,CARD,PAID,53361.0
444,7000000443,1000000443,0,CARD,FAILED,120969.75
445,7000000444,1000000444,20250119,CARD,PAID,44324.4
446,7000000445,1000000445,20240725,TRANSFER,PAID,29040.0
447,7000000446,1000000446,20240813,CARD,PAID,43888.8
448,7000000447,1000000447,20241109,GATEWAY,PAID,43588.8
449,7000000448,1000000448,20250111,CARD,PAID,13794.0
450,7000000449,1000000449,20240402,GATEWAY,PAID,69516.6
451,7000000450,1000000450,20240908,CARD,PAID,20257.5
452,7000000451,1000000451,20240410,CASH,REFUNDED,34485.0
453,7000000452,1000000452,20250302,CARD,PAID,54313.88
454,7000000453,1000000453,20240415,GATEWAY,PAID,15129.6
455,7000000454,1000000454,20250524,CARD,PAID,40104.0
456,7000000455,1000000455,0,CARD,FAILED,102694.8
457,7000000456,1000000456,20240927,CASH,PAID,81783.9
458,7000000457,1000000457,20250928,GATEWAY,PAID,16418.25
459,7000000458,1000000458,20241028,CARD,PAID,48097.5
460,7000000459,1000000459,20241216,GATEWAY,REFUNDED,28749.6
461,7000000460,1000000460,20240402,CARD,PAID,18676.35
462,7000000461,1000000461,20240326,GATEWAY,PAID,27989.4
463,7000000462,1000000462,20240527,CARD,PAID,55650.0
464,7000000463,1000000463,20250831,CARD,PAID,13968.0
