ventas_item_sk,order_item_id,order_id,fecha_key,producto_sk,quantity,unit_price,discount_amount,line_total
30,5000000039,1000000023,20250705,2,2,15000.0,3000.0,27000.0
31,5000000040,1000000024,20250302,1,1,12000.0,240.0,11760.0
32,5000000041,1000000025,20250826,2,3,15750.0,2362.5,44887.5
33,5000000042,1000000025,20250826,1,2,12600.0,0.0,25200.0
34,5000000043,1000000026,20241212,2,1,15000.0,1500.0,13500.0
35,5000000044,1000000027,20241202,1,2,12000.0,1200.0,22800.0
36,5000000045,1000000028,20240517,1,1,12000.0,0.0,12000.0
37,5000000046,1000000029,20250914,2,2,16500.0,660.0,32340.0
38,5000000047,1000000029,20250914,1,3,12000.0,3600.0,32400.0
39,5000000048,1000000030,20250609,1,3,12000.0,1800.0,34200.0
40,5000000049,1000000031,20250510,1,2,12000.0,480.0,23520.0
41,5000000050,1000000032,20250315,2,2,15000.0,3000.0,27000.0
42,5000000051,1000000033,20240608,2,1,15000.0,300.0,14700.0
43,5000000052,1000000034,20241117,2,3,15750.0,2362.5,44887.5
44,5000000053,1000000034,20241117,2,3,15000.0,4500.0,40500.0
45,5000000054,1000000035,20240112,1,2,12000.0,2400.0,21600.0
46,5000000055,1000000036,20240924,1,2,12000.0,1200.0,22800.0
47,5000000056,1000000036,20240924,2,2,15000.0,3000.0,27000.0
48,5000000057,1000000037,20240126,1,2,12600.0,504.0,24696.0
49,5000000058,1000000038,20240202,1,1,12000.0,240.0,11760.0
50,5000000059,1000000039,20240523,1,3,10800.0,3240.0,29160.0
51,5000000060,1000000039,20240523,2,2,15000.0,0.0,30000.0
52,5000000062,1000000041,20240114,2,1,15000.0,750.0,14250.0
53,5000000063,1000000041,20240114,1,1,10800.0,540.0,10260.0
54,5000000064,1000000042,20240927,1,1,10800.0,540.0,10260.0
55,5000000065,1000000043,20240521,1,3,13200.0,0.0,39600.0
56,5000000066,1000000044,20250902,2,2,15000.0,600.0,29400.0
57,5000000067,1000000044,20250902,2,3,15000.0,900.0,44100.0
58,5000000068,1000000045,20240201,1,3,12000.0,0.0,36000.0
59,5000000069,1000000046,20240112,2,2,16500.0,0.0,33000.0
60,5000000070,1000000047,20240308,1,1,12000.0,1200.0,10800.0
61,5000000072,1000000049,20240811,2,3,13500.0,0.0,40500.0
62,5000000073,1000000050,20240725,2,2,15000.0,1500.0,28500.0
63,5000000074,1000000051,20240915,2,2,15750.0,630.0,30870.0
64,5000000075,1000000052,20241104,1,3,12000.0,720.0,35280.0
65,5000000076,1000000052,20241104,1,3,12000.0,720.0,35280.0
66,5000000078,1000000054,20240316,1,1,12600.0,252.0,12348.0
67,5000000079,1000000055,20250723,2,3,15000.0,2250.0,42750.0
68,5000000080,1000000056,20250412,1,2,12000.0,0.0,24000.0
69,5000000081,1000000056,20250412,2,3,16500.0,2475.0,47025.0
70,5000000082,1000000057,20250221,2,1,15000.0,750.0,14250.0
71,5000000083,1000000057,20250221,2,1,15750.0,1575.0,14175.0
72,5000000086,1000000059,20240701,1,3,12000.0,1800.0,34200.0
73,5000000087,1000000059,20240701,2,2,15000.0,0.0,30000.0
74,5000000089,1000000061,20250301,1,1,12000.0,0.0,12000.0
75,5000000090,1000000062,20241223,2,3,15000.0,0.0,45000.0
76,5000000091,1000000063,20240530,1,3,12600.0,756.0,37044.0
77,5000000092,1000000064,20250304,2,1,16500.0,1650.0,14850.0
78,5000000093,1000000065,20240917,1,3,12000.0,720.0,35280.0
79,5000000096,1000000068,20241201,2,1,15750.0,315.0,15435.0
80,5000000097,1000000068,20241201,1,2,12000.0,0.0,24000.0
81,5000000098,1000000068,20241201,2,3,15000.0,0.0,45000.0
82,5000000099,1000000069,20240612,2,3,15000.0,900.0,44100.0
83,5000000100,1000000070,20250725,1,1,12000.0,0.0,12000.0
84,5000000101,1000000071,20240722,1,1,12000.0,240.0,11760.0
85,5000000102,1000000072,20240202,2,1,13500.0,675.0,12825.0
86,5000000103,1000000073,20241207,2,1,15750.0,315.0,15435.0
87,5000000104,1000000074,20241214,1,2,12600.0,1260.0,23940.0
88,5000000105,1000000074,20241214,1,3,12000.0,3600.0,32400.0
89,5000000106,1000000075,20250322,2,2,15000.0,600.0,29400.0
90,5000000107,1000000076,20240301,1,2,12000.0,480.0,23520.0
91,5000000108,1000000077,20241204,1,2,12000.0,480.0,23520.0
92,5000000109,1000000078,20250109,2,1,15000.0,750.0,14250.0
93,5000000110,1000000078,20250109,1,2,13200.0,0.0,26400.0
94,5000000111,1000000079,20250916,1,1,10800.0,0.0,10800.0
95,5000000112,1000000079,20250916,1,2,12000.0,2400.0,21600.0
96,5000000113,1000000080,20241111,2,1,15000.0,300.0,14700.0
97,5000000114,1000000081,20250202,1,2,12000.0,1200.0,22800.0
98,5000000115,1000000081,20250202,2,2,15000.0,0.0,30000.0
99,5000000116,1000000082,20250921,1,3,12000.0,1800.0,34200.0
100,5000000119,1000000084,20241125,2,1,15000.0,0.0,15000.0
101,5000000120,1000000085,20250301,1,1,12600.0,252.0,12348.0
102,5000000121,1000000086,20250818,1,1,12000.0,1200.0,10800.0
103,5000000123,1000000088,20240203,2,2,15000.0,600.0,29400.0
104,5000000124,1000000088,20240203,2,2,15000.0,3000.0,27000.0
105,5000000125,1000000089,20250618,2,1,15000.0,750.0,14250.0
106,5000000126,1000000090,20240127,1,2,12000.0,0.0,24000.0
107,5000000127,1000000090,20240127,2,1,13500.0,675.0,12825.0
108,5000000128,1000000091,20240217,2,3,15750.0,2362.5,44887.5
109,5000000129,1000000091,20240217,2,3,15750.0,945.0,46305.0
110,5000000130,1000000092,20240613,2,2,15000.0,0.0,30000.0
111,5000000131,1000000093,20241114,2,3,15000.0,0.0,45000.0
112,5000000132,1000000093,20241114,1,2,12000.0,0.0,24000.0
113,5000000133,1000000093,20241114,2,1,16500.0,825.0,15675.0
114,5000000134,1000000094,20241227,1,3,12000.0,1800.0,34200.0
115,5000000135,1000000094,20241227,2,3,13500.0,0.0,40500.0
116,5000000136,1000000095,20250925,2,3,16500.0,990.0,48510.0
117,5000000137,1000000096,20250523,1,3,12000.0,720.0,35280.0
118,5000000138,1000000097,20240612,2,1,15750.0,315.0,15435.0
119,5000000139,1000000098,20250116,1,3,12600.0,1890.0,35910.0
120,5000000140,1000000099,20240227,1,1,12000.0,0.0,12000.0
121,5000000143,1000000101,20240330,1,3,12000.0,0.0,36000.0
122,5000000144,1000000102,20241119,1,3,12000.0,720.0,35280.0
123,5000000147,1000000105,20240512,1,2,12000.0,2400.0,21600.0
124,5000000148,1000000106,20250208,2,1,15000.0,0.0,15000.0
125,5000000149,1000000107,20240522,1,3,12600.0,3780.0,34020.0
126,5000000150,1000000108,20250704,2,3,15750.0,945.0,46305.0
127,5000000151,1000000109,20240422,1,2,12000.0,2400.0,21600.0
128,5000000152,1000000109,20240422,1,1,12000.0,600.0,11400.0
129,5000000155,1000000111,20241220,2,1,15750.0,315.0,15435.0
130,5000000156,1000000112,20250228,1,3,12600.0,3780.0,34020.0
131,5000000157,1000000112,20250228,2,3,15000.0,2250.0,42750.0
132,5000000159,1000000114,20240917,1,1,10800.0,1080.0,9720.0
133,5000000161,1000000116,20240701,1,3,13200.0,0.0,39600.0
134,5000000162,1000000117,20250119,1,2,12000.0,0.0,24000.0
135,5000000163,1000000118,20250816,1,3,13200.0,792.0,38808.0
136,5000000164,1000000119,20250716,2,1,15000.0,300.0,14700.0
137,5000000165,1000000120,20240418,1,1,12000.0,240.0,11760.0
138,5000000166,1000000121,20241220,1,3,13200.0,1980.0,37620.0
139,5000000167,1000000122,20250830,1,3,12000.0,0.0,36000.0
140,5000000169,1000000124,20240206,1,1,10800.0,216.0,10584.0
141,5000000170,1000000124,20240206,2,3,15000.0,900.0,44100.0
142,5000000171,1000000125,20240709,2,3,15000.0,4500.0,40500.0
143,5000000172,1000000125,20240709,1,1,12000.0,1200.0,10800.0
144,5000000173,1000000126,20240612,2,1,15000.0,0.0,15000.0
145,5000000174,1000000127,20240228,2,2,15000.0,1500.0,28500.0
146,5000000175,1000000127,20240228,2,2,15750.0,3150.0,28350.0
147,5000000179,1000000129,20250917,1,3,12000.0,720.0,35280.0
148,5000000180,1000000129,20250917,2,2,15000.0,3000.0,27000.0
149,5000000181,1000000130,20250521,2,1,13500.0,1350.0,12150.0
150,5000000182,1000000131,20240125,1,3,13200.0,0.0,39600.0
151,5000000183,1000000132,20240726,2,2,13500.0,540.0,26460.0
152,5000000184,1000000133,20240614,2,1,15000.0,0.0,15000.0
153,5000000185,1000000134,20240106,1,3,12000.0,720.0,35280.0
154,5000000186,1000000134,20240106,2,2,15000.0,3000.0,27000.0
155,5000000187,1000000135,20240530,1,1,12000.0,600.0,11400.0
156,5000000188,1000000135,20240530,1,2,10800.0,0.0,21600.0
157,5000000189,1000000136,20250120,2,2,15000.0,1500.0,28500.0
158,5000000190,1000000137,20241115,1,1,12000.0,240.0,11760.0
159,5000000191,1000000138,20240103,1,3,12000.0,1800.0,34200.0
160,5000000192,1000000139,20240406,2,1,15000.0,1500.0,13500.0
161,5000000193,1000000140,20250217,2,1,13500.0,270.0,13230.0
162,5000000198,1000000143,20240606,1,3,12000.0,1800.0,34200.0
163,5000000199,1000000143,20240606,1,3,12000.0,3600.0,32400.0
164,5000000201,1000000145,20250719,2,2,15000.0,0.0,30000.0
165,5000000202,1000000146,20240505,2,3,15750.0,2362.5,44887.5
166,5000000203,1000000146,20240505,1,3,12600.0,0.0,37800.0
167,5000000204,1000000147,20241207,2,2,16500.0,660.0,32340.0
168,5000000205,1000000147,20241207,2,2,15000.0,3000.0,27000.0
169,5000000206,1000000148,20250621,1,3,12000.0,720.0,35280.0
170,5000000207,1000000149,20250121,2,1,15000.0,1500.0,13500.0
171,5000000208,1000000150,20250530,2,2,16500.0,660.0,32340.0
172,5000000209,1000000151,20240416,1,3,12000.0,720.0,35280.0
173,5000000210,1000000152,20240108,1,1,10800.0,1080.0,9720.0
174,5000000212,1000000154,20240701,2,3,15750.0,4725.0,42525.0
175,5000000213,1000000155,20240212,1,1,12000.0,0.0,12000.0
176,5000000214,1000000156,20241029,2,3,15000.0,2250.0,42750.0
177,5000000217,1000000158,20240424,2,2,15000.0,0.0,30000.0
178,5000000218,1000000159,20240714,1,1,12600.0,252.0,12348.0
179,5000000219,1000000160,20240613,2,2,15000.0,600.0,29400.0
180,5000000220,1000000161,20241021,2,3,15000.0,0.0,45000.0
181,5000000221,1000000162,20250731,1,2,12000.0,1200.0,22800.0
182,5000000222,1000000163,20240224,1,2,10800.0,0.0,21600.0
183,5000000223,1000000164,20250222,1,3,12000.0,0.0,36000.0
184,5000000224,1000000164,20250222,2,2,15000.0,3000.0,27000.0
185,5000000225,1000000165,20250827,1,2,12000.0,480.0,23520.0
186,5000000226,1000000166,20250727,2,1,15000.0,1500.0,13500.0
187,5000000227,1000000166,20250727,2,2,15750.0,1575.0,29925.0
188,5000000232,1000000169,20240708,1,1,12000.0,1200.0,10800.0
189,5000000233,1000000170,20240329,2,2,15000.0,0.0,30000.0
190,5000000235,1000000172,20240507,1,2,12000.0,1200.0,22800.0
191,5000000236,1000000173,20250616,2,2,15750.0,0.0,31500.0
192,5000000237,1000000174,20240907,1,1,12000.0,240.0,11760.0
193,5000000238,1000000175,20240531,1,1,12000.0,0.0,12000.0
194,5000000239,1000000176,20250225,2,1,16500.0,1650.0,14850.0
195,5000000240,1000000177,20241123,2,1,13500.0,675.0,12825.0
196,5000000241,1000000178,20250503,2,1,15000.0,1500.0,13500.0
197,5000000242,1000000179,20250812,2,3,15000.0,900.0,44100.0
198,5000000243,1000000179,20250812,2,2,15000.0,1500.0,28500.0
199,5000000244,1000000180,20240521,1,2,12600.0,0.0,25200.0
200,5000000245,1000000181,20241112,1,2,12000.0,480.0,23520.0
201,5000000246,1000000182,20240908,1,2,13200.0,1320.0,25080.0
202,5000000247,1000000183,20241026,2,2,13500.0,0.0,27000.0
203,5000000248,1000000184,20250511,2,1,15000.0,1500.0,13500.0
204,5000000249,1000000185,20240718,1,3,12600.0,756.0,37044.0
205,5000000250,1000000185,20240718,1,2,12000.0,1200.0,22800.0
206,5000000251,1000000186,20240730,1,1,12000.0,600.0,11400.0
207,5000000253,1000000188,20250823,2,2,15000.0,3000.0,27000.0
208,5000000254,1000000189,20240502,1,3,12600.0,756.0,37044.0
209,5000000255,1000000190,20240605,1,1,12000.0,240.0,11760.0
210,5000000259,1000000192,20240308,1,1,12000.0,0.0,12000.0
211,5000000260,1000000193,20240215,1,3,12000.0,3600.0,32400.0
212,5000000261,1000000194,20250913,1,1,12000.0,1200.0,10800.0
213,5000000262,1000000194,20250913,1,3,12000.0,1800.0,34200.0
214,5000000263,1000000195,20250228,2,1,15000.0,1500.0,13500.0
215,5000000264,1000000195,20250228,2,2,16500.0,660.0,32340.0
216,5000000265,1000000196,20250814,2,2,15000.0,0.0,30000.0
217,5000000266,1000000197,20240409,1,1,12000.0,1200.0,10800.0
218,5000000267,1000000198,20240203,1,3,10800.0,3240.0,29160.0
219,5000000268,1000000199,20250319,1,2,13200.0,0.0,26400.0
220,5000000269,1000000199,20250319,1,2,12000.0,2400.0,21600.0
221,5000000270,1000000200,20240925,1,1,12000.0,1200.0,10800.0
222,5000000271,1000000200,20240925,1,1,12000.0,1200.0,10800.0
223,5000000274,1000000202,20250327,1,3,12000.0,0.0,36000.0
224,5000000275,1000000203,20241117,1,3,12000.0,3600.0,32400.0
225,5000000278,1000000205,20240930,2,1,15000.0,300.0,14700.0
226,5000000279,1000000206,20250726,1,2,12000.0,480.0,23520.0
227,5000000280,1000000207,20250507,1,1,12600.0,252.0,12348.0
228,5000000281,1000000208,20250411,2,3,16500.0,4950.0,44550.0
229,5000000282,1000000209,20250403,1,2,12600.0,0.0,25200.0
230,5000000283,1000000210,20250320,2,1,15000.0,1500.0,13500.0
231,5000000286,1000000212,20250218,1,1,12000.0,240.0,11760.0
232,5000000287,1000000213,20240416,2,1,15750.0,0.0,15750.0
233,5000000288,1000000214,20240719,1,2,12600.0,2520.0,22680.0
234,5000000289,1000000215,20240129,2,3,13500.0,2025.0,38475.0
235,5000000290,1000000215,20240129,1,1,13200.0,660.0,12540.0
236,5000000291,1000000216,20250510,2,1,16500.0,825.0,15675.0
237,5000000292,1000000217,20240405,2,1,15750.0,787.5,14962.5
238,5000000293,1000000217,20240405,2,3,15000.0,0.0,45000.0
239,5000000294,1000000218,20240704,1,1,10800.0,540.0,10260.0
240,5000000295,1000000218,20240704,1,2,12000.0,2400.0,21600.0
241,5000000296,1000000219,20240612,1,1,12000.0,1200.0,10800.0
242,5000000297,1000000219,20240612,1,3,12000.0,1800.0,34200.0
243,5000000298,1000000220,20250921,1,1,12000.0,600.0,11400.0
244,5000000299,1000000221,20250507,1,2,12000.0,480.0,23520.0
245,5000000300,1000000222,20240830,1,2,12000.0,2400.0,21600.0
246,5000000301,1000000223,20241224,1,2,12600.0,2520.0,22680.0
247,5000000302,1000000224,20250322,2,3,15000.0,4500.0,40500.0
248,5000000303,1000000225,20250805,1,3,12600.0,3780.0,34020.0
249,5000000304,1000000226,20240716,1,3,10800.0,3240.0,29160.0
250,5000000305,1000000227,20240717,1,3,12000.0,720.0,35280.0
251,5000000306,1000000228,20250327,1,3,12000.0,720.0,35280.0
252,5000000308,1000000230,20241229,1,3,12000.0,3600.0,32400.0
253,5000000309,1000000231,20240608,2,3,15750.0,0.0,47250.0
254,5000000310,1000000232,20250221,1,1,13200.0,264.0,12936.0
255,5000000311,1000000232,20250221,1,2,12000.0,0.0,24000.0
256,5000000312,1000000233,20241119,2,1,15000.0,0.0,15000.0
257,5000000313,1000000234,20250528,1,2,12000.0,480.0,23520.0
258,5000000315,1000000236,20250104,1,1,12000.0,0.0,12000.0
259,5000000316,1000000236,20250104,1,1,12000.0,0.0,12000.0
260,5000000317,1000000237,20241114,1,3,12000.0,0.0,36000.0
261,5000000318,1000000238,20250322,1,2,10800.0,432.0,21168.0
262,5000000319,1000000239,20240220,1,1,12600.0,630.0,11970.0
263,5000000320,1000000239,20240220,2,3,13500.0,810.0,39690.0
264,5000000323,1000000241,20241011,2,2,15000.0,3000.0,27000.0
265,5000000324,1000000241,20241011,1,3,12000.0,3600.0,32400.0
266,5000000326,1000000243,20250608,2,1,16500.0,0.0,16500.0
267,5000000327,1000000244,20240913,1,2,10800.0,1080.0,20520.0
268,5000000332,1000000247,20241202,2,1,15750.0,315.0,15435.0
269,5000000333,1000000248,20241026,1,1,12000.0,1200.0,10800.0
270,5000000334,1000000249,20240419,1,3,13200.0,0.0,39600.0
271,5000000335,1000000250,20240921,2,3,15750.0,4725.0,42525.0
272,5000000336,1000000251,20240315,1,3,12000.0,1800.0,34200.0
273,5000000337,1000000252,20240302,2,3,15000.0,900.0,44100.0
274,5000000340,1000000254,20241013,1,2,10800.0,432.0,21168.0
275,5000000341,1000000255,20240813,2,1,15000.0,300.0,14700.0
276,5000000342,1000000256,20241001,1,2,12000.0,480.0,23520.0
277,5000000343,1000000257,20250530,2,2,15000.0,600.0,29400.0
278,5000000344,1000000257,20250530,2,2,15000.0,1500.0,28500.0
279,5000000345,1000000258,20241226,2,2,15000.0,1500.0,28500.0
280,5000000347,1000000260,20241212,2,2,16500.0,0.0,33000.0
281,5000000348,1000000261,20250814,1,2,12000.0,0.0,24000.0
282,5000000349,1000000262,20241118,1,3,12000.0,720.0,35280.0
283,5000000350,1000000263,20241231,2,3,15000.0,4500.0,40500.0
284,5000000351,1000000264,20250819,1,1,12600.0,1260.0,11340.0
285,5000000352,1000000264,20250819,2,3,15750.0,945.0,46305.0
286,5000000353,1000000265,20240427,1,3,13200.0,0.0,39600.0
287,5000000354,1000000265,20240427,1,1,13200.0,264.0,12936.0
288,5000000355,1000000266,20250507,1,2,12000.0,480.0,23520.0
289,5000000356,1000000266,20250507,2,1,16500.0,825.0,15675.0
290,5000000357,1000000267,20240229,2,2,15000.0,3000.0,27000.0
291,5000000361,1000000270,20240216,1,1,12000.0,240.0,11760.0
292,5000000364,1000000272,20241025,1,2,13200.0,0.0,26400.0
293,5000000365,1000000273,20240301,1,3,12000.0,720.0,35280.0
294,5000000366,1000000274,20240928,1,2,12000.0,0.0,24000.0
295,5000000367,1000000274,20240928,2,3,13500.0,810.0,39690.0
296,5000000368,1000000275,20240621,1,1,12000.0,1200.0,10800.0
297,5000000369,1000000275,20240621,1,1,12000.0,1200.0,10800.0
298,5000000370,1000000276,20250526,1,2,12000.0,0.0,24000.0
299,5000000371,1000000277,20241014,2,2,15000.0,0.0,30000.0
300,5000000372,1000000277,20241014,1,1,12000.0,0.0,12000.0
301,5000000373,1000000278,20250304,1,2,10800.0,0.0,21600.0
302,5000000375,1000000280,20240720,2,1,15000.0,300.0,14700.0
303,5000000376,1000000280,20240720,1,1,12600.0,0.0,12600.0
304,5000000377,1000000281,20250311,1,2,12000.0,1200.0,22800.0
305,5000000378,1000000281,20250311,1,2,10800.0,432.0,21168.0
306,5000000379,1000000282,20241228,1,2,10800.0,2160.0,19440.0
307,5000000380,1000000283,20250721,2,1,13500.0,675.0,12825.0
308,5000000381,1000000284,20240309,2,2,15000.0,0.0,30000.0
309,5000000382,1000000284,20240309,2,2,15000.0,1500.0,28500.0
310,5000000384,1000000286,20240711,2,2,15000.0,600.0,29400.0
311,5000000385,1000000287,20250617,2,3,15000.0,2250.0,42750.0
312,5000000386,1000000288,20250201,1,1,12000.0,240.0,11760.0
313,5000000389,1000000290,20241104,1,1,12000.0,240.0,11760.0
314,5000000390,1000000290,20241104,2,3,13500.0,4050.0,36450.0
315,5000000391,1000000290,20241104,1,3,13200.0,1980.0,37620.0
316,5000000392,1000000291,20241017,2,3,16500.0,2475.0,47025.0
317,5000000393,1000000292,20250429,2,1,15000.0,300.0,14700.0
318,5000000394,1000000292,20250429,1,1,12600.0,630.0,11970.0
319,5000000395,1000000293,20250821,1,2,12000.0,2400.0,21600.0
320,5000000398,1000000296,20240628,2,1,15000.0,0.0,15000.0
321,5000000400,1000000298,20241104,1,3,12000.0,1800.0,34200.0
322,5000000401,1000000299,20240506,1,3,12000.0,0.0,36000.0
323,5000000402,1000000300,20241119,1,3,12000.0,3600.0,32400.0
324,5000000403,1000000300,20241119,1,1,12000.0,240.0,11760.0
325,5000000404,1000000301,20240506,1,2,12000.0,0.0,24000.0
326,5000000407,1000000303,20240316,1,3,12000.0,3600.0,32400.0
327,5000000408,1000000304,20240315,2,1,15000.0,1500.0,13500.0
328,5000000409,1000000304,20240315,2,3,15750.0,2362.5,44887.5
329,5000000410,1000000304,20240315,2,3,13500.0,810.0,39690.0
330,5000000411,1000000305,20250413,1,2,12600.0,0.0,25200.0
331,5000000412,1000000306,20240429,2,3,15000.0,2250.0,42750.0
332,5000000413,1000000306,20240429,1,2,13200.0,0.0,26400.0
333,5000000414,1000000307,20240912,2,1,15000.0,1500.0,13500.0
334,5000000415,1000000308,20240327,2,1,15000.0,1500.0,13500.0
335,5000000417,1000000310,20250104,1,2,12000.0,2400.0,21600.0
336,5000000418,1000000311,20250107,2,2,15750.0,1575.0,29925.0
337,5000000419,1000000312,20250223,2,2,15750.0,1575.0,29925.0
338,5000000420,1000000313,20250519,2,3,15000.0,0.0,45000.0
339,5000000421,1000000313,20250519,2,1,15000.0,750.0,14250.0
340,5000000422,1000000314,20241015,2,1,15000.0,0.0,15000.0
341,5000000423,1000000314,20241015,1,1,12000.0,240.0,11760.0
342,5000000424,1000000315,20250505,2,1,15750.0,1575.0,14175.0
343,5000000425,1000000315,20250505,2,2,15000.0,0.0,30000.0
344,5000000426,1000000316,20250427,2,1,15750.0,1575.0,14175.0
345,5000000427,1000000316,20250427,2,3,15000.0,0.0,45000.0
346,5000000428,1000000317,20240816,2,2,16500.0,3300.0,29700.0
347,5000000429,1000000318,20241006,1,1,12600.0,0.0,12600.0
348,5000000430,1000000319,20240420,1,1,12000.0,240.0,11760.0
349,5000000431,1000000320,20250818,2,1,15000.0,750.0,14250.0
350,5000000432,1000000320,20250818,2,1,15000.0,0.0,15000.0
351,5000000433,1000000321,20250802,2,3,15000.0,900.0,44100.0
352,5000000434,1000000321,20250802,2,2,16500.0,0.0,33000.0
353,5000000435,1000000322,20241120,1,3,10800.0,1620.0,30780.0
354,5000000436,1000000323,20250401,1,2,10800.0,1080.0,20520.0
355,5000000437,1000000323,20250401,1,2,12600.0,504.0,24696.0
356,5000000438,1000000324,20250111,2,2,16500.0,0.0,33000.0
357,5000000439,1000000324,20250111,1,2,12600.0,504.0,24696.0
358,5000000440,1000000325,20241014,1,2,13200.0,2640.0,23760.0
359,5000000441,1000000326,20240616,1,3,12000.0,1800.0,34200.0
360,5000000442,1000000326,20240616,1,3,12000.0,720.0,35280.0
361,5000000443,1000000327,20250109,1,2,12600.0,504.0,24696.0
362,5000000444,1000000328,20250210,2,3,13500.0,2025.0,38475.0
363,5000000445,1000000328,20250210,2,2,15000.0,1500.0,28500.0
364,5000000446,1000000329,20240315,1,3,13200.0,3960.0,35640.0
365,5000000447,1000000330,20241214,1,2,12000.0,0.0,24000.0
366,5000000448,1000000331,20241224,2,3,15000.0,4500.0,40500.0
367,5000000449,1000000331,20241224,2,1,15750.0,315.0,15435.0
368,5000000450,1000000332,20250917,1,3,12000.0,0.0,36000.0
369,5000000451,1000000332,20250917,2,1,15000.0,300.0,14700.0
370,5000000453,1000000334,20250507,1,2,12000.0,480.0,23520.0
371,5000000454,1000000334,20250507,1,3,12000.0,1800.0,34200.0
372,5000000455,1000000335,20240210,2,3,16500.0,990.0,48510.0
373,5000000456,1000000335,20240210,1,1,12000.0,600.0,11400.0
374,5000000457,1000000336,20240719,1,1,12000.0,0.0,12000.0
375,5000000458,1000000336,20240719,1,2,13200.0,0.0,26400.0
376,5000000459,1000000337,20240912,2,1,15000.0,1500.0,13500.0
377,5000000463,1000000340,20240805,1,1,12000.0,1200.0,10800.0
378,5000000464,1000000341,20241221,1,2,12600.0,0.0,25200.0
379,5000000465,1000000342,20241006,2,1,15000.0,750.0,14250.0
380,5000000466,1000000343,20240811,1,1,12600.0,1260.0,11340.0
381,5000000467,1000000343,20240811,1,1,12000.0,1200.0,10800.0
382,5000000468,1000000344,20240723,2,2,16500.0,0.0,33000.0
383,5000000469,1000000345,20240501,1,3,12600.0,3780.0,34020.0
384,5000000470,1000000346,20250312,1,3,12000.0,1800.0,34200.0
385,5000000471,1000000347,20240818,2,3,15000.0,900.0,44100.0
386,5000000472,1000000348,20241115,1,1,10800.0,540.0,10260.0
387,5000000473,1000000349,20240829,1,3,12000.0,0.0,36000.0
388,5000000474,1000000350,20240318,1,3,12000.0,720.0,35280.0
389,5000000475,1000000351,20240503,2,2,15000.0,3000.0,27000.0
390,5000000476,1000000352,20250216,2,2,15750.0,3150.0,28350.0
391,5000000477,1000000353,20250508,1,3,12000.0,1800.0,34200.0
392,5000000478,1000000354,20250509,1,1,13200.0,0.0,13200.0
393,5000000479,1000000355,20241209,2,3,15000.0,4500.0,40500.0
394,5000000480,1000000356,20250605,2,3,15000.0,900.0,44100.0
395,5000000481,1000000357,20240229,1,1,12000.0,240.0,11760.0
396,5000000482,1000000358,20250708,2,2,15000.0,1500.0,28500.0
397,5000000483,1000000359,20240709,2,2,15000.0,600.0,29400.0
398,5000000484,1000000360,20240923,1,2,12000.0,1200.0,22800.0
399,5000000485,1000000360,20240923,1,3,10800.0,3240.0,29160.0
400,5000000486,1000000361,20250119,1,3,13200.0,3960.0,35640.0
401,5000000487,1000000361,20250119,1,2,12000.0,480.0,23520.0
402,5000000488,1000000362,20240814,1,3,12000.0,0.0,36000.0
403,5000000489,1000000363,20240607,1,1,12000.0,600.0,11400.0
404,5000000490,1000000364,20250818,1,2,12600.0,504.0,24696.0
