geografia_sk,address_id,city,line1,postal_code,provincia_nombre,provincia_code
105,1101,Rafaela,Calle 9842,7176.0,Santa Fe,SF
106,1102,Río Cuarto,Calle 7160,2895.0,Córdoba,CBA
107,1103,CABA,Calle 5575,2902.0,Buenos Aires,BA
108,1104,La Plata,Calle 6230,6092.0,Buenos Aires,BA
109,1105,Córdoba,Calle 6360,3069.0,Córdoba,CBA
110,1106,Río Cuarto,Calle 3640,9819.0,Córdoba,CBA
111,1107,La Plata,Calle 3587,3415.0,Buenos Aires,BA
112,1108,Mar del Plata,Calle 563,9230.0,Buenos Aires,BA
113,1109,Mar del Plata,Calle 9404,9110.0,Buenos Aires,BA
114,1110,Villa Carlos Paz,Calle 964,4687.0,Córdoba,CBA
115,1111,Mendoza,Calle 7988,3608.0,Mendoza,MZA
116,1112,La Plata,Calle 6922,7412.0,Buenos Aires,BA
117,1113,Mar del Plata,Calle 4638,9978.0,Buenos Aires,BA
118,1114,La Plata,Calle 9510,8496.0,Buenos Aires,BA
119,1115,Villa Carlos Paz,Calle 7905,4573.0,Córdoba,CBA
120,1116,Córdoba,Calle 5935,3418.0,Córdoba,CBA
121,1117,Godoy Cruz,Calle 2757,8763.0,Mendoza,MZA
122,1118,Mendoza,Calle 8445,3434.0,Mendoza,MZA
123,1119,CABA,Calle 3947,3826.0,Buenos Aires,BA
124,1120,Rafaela,Calle 1469,5509.0,Santa Fe,SF
125,1121,CABA,Calle 1911,9351.0,Buenos Aires,BA
126,1122,Mar del Plata,Calle 9382,3967.0,Buenos Aires,BA
127,1123,Mar del Plata,Calle 7106,2629.0,Buenos Aires,BA
128,1124,Mar del Plata,Calle 3030,7451.0,Buenos Aires,BA
129,1125,Rafaela,Calle 8005,4399.0,Santa Fe,SF
130,1126,Mar del Plata,Calle 2949,6149.0,Buenos Aires,BA
131,1127,Mar del Plata,Calle 3379,5206.0,Buenos Aires,BA
132,1128,CABA,Calle 8293,7931.0,Buenos Aires,BA
133,1129,CABA,Calle 8511,3291.0,Buenos Aires,BA
134,1130,Río Cuarto,Calle 5770,2622.0,Córdoba,CBA
135,1131,CABA,Calle 2322,4539.0,Buenos Aires,BA
136,1132,Mar del Plata,Calle 6915,5270.0,Buenos Aires,BA
137,1133,Córdoba,Calle 6555,7968.0,Córdoba,CBA
138,1134,CABA,Calle 4414,7097.0,Buenos Aires,BA
139,1135,Río Cuarto,Calle 9912,6183.0,Córdoba,CBA
140,1136,Mar del Plata,Calle 4056,9707.0,Buenos Aires,BA
141,1137,Villa Carlos Paz,Calle 1081,6944.0,Córdoba,CBA
142,1138,Rosario,Calle 3699,7179.0,Santa Fe,SF
143,1139,CABA,Calle 2024,9021.0,Buenos Aires,BA
144,1140,Mar del Plata,Calle 9375,2623.0,Buenos Aires,BA
145,1141,La Plata,Calle 2961,8812.0,Buenos Aires,BA
146,1142,Mar del Plata,Calle 8415,3337.0,Buenos Aires,BA
147,1143,Villa Carlos Paz,Calle 867,5081.0,Córdoba,CBA
148,1144,Córdoba,Calle 7192,5519.0,Córdoba,CBA
149,1145,Mar del Plata,Calle 3749,6007.0,Buenos Aires,BA
150,1146,Rosario,Calle 1303,2534.0,Santa Fe,SF
151,1147,Córdoba,Calle 4684,7946.0,Córdoba,CBA
152,1148,Mendoza,Calle 7859,7643.0,Mendoza,MZA
153,1149,Río Cuarto,Calle 120,5001.0,Córdoba,CBA
154,1150,Córdoba,Calle 9952,3864.0,Córdoba,CBA
155,1151,CABA,Calle 8417,9118.0,Buenos Aires,BA
156,1152,CABA,Calle 5538,5752.0,Buenos Aires,BA
157,1153,La Plata,Calle 3491,4562.0,Buenos Aires,BA
158,1154,San Rafael,Calle 8447,1942.0,Mendoza,MZA
159,1155,La Plata,Calle 5383,1084.0,Buenos Aires,BA
160,1156,Rosario,Calle 6588,8058.0,Santa Fe,SF
161,1157,Mar del Plata,Calle 8427,8985.0,Buenos Aires,BA
162,1158,Mar del Plata,Calle 4099,7132.0,Buenos Aires,BA
163,1159,CABA,Calle 8789,8198.0,Buenos Aires,BA
164,1160,Mar del Plata,Calle 7111,2813.0,Buenos Aires,BA
165,1161,CABA,Calle 6465,1517.0,Buenos Aires,BA
166,1162,Villa Carlos Paz,Calle 4355,9119.0,Córdoba,CBA
167,1163,La Plata,Calle 8223,3153.0,Buenos Aires,BA
168,1164,Mendoza,Calle 2067,4874.0,Mendoza,MZA
169,1165,Villa Carlos Paz,Calle 7040,8116.0,Córdoba,CBA
170,1166,La Plata,Calle 1354,9376.0,Buenos Aires,BA
171,1167,CABA,Calle 4318,4250.0,Buenos Aires,BA
172,1168,Córdoba,Calle 8231,3436.0,Córdoba,CBA
173,1169,La Plata,Calle 629,7984.0,Buenos Aires,BA
174,1170,Córdoba,Calle 835,4791.0,Córdoba,CBA
175,1171,La Plata,Calle 1006,5985.0,Buenos Aires,BA
176,1172,La Plata,Calle 5752,6240.0,Buenos Aires,BA
177,1173,CABA,Calle 855,4473.0,Buenos Aires,BA
178,1174,Mar del Plata,Calle 1651,9049.0,Buenos Aires,BA
179,1175,CABA,Calle 1588,6426.0,Buenos Aires,BA
180,1176,Villa Carlos Paz,Calle 9649,4903.0,Córdoba,CBA
181,1177,La Plata,Calle 1430,1672.0,Buenos Aires,BA
182,1178,La Plata,Calle 1617,5939.0,Buenos Aires,BA
183,1179,Mendoza,Calle 8742,3094.0,Mendoza,MZA
184,1180,Mar del Plata,Calle 4138,8347.0,Buenos Aires,BA
185,1181,Mendoza,Calle 7911,3735.0,Mendoza,MZA
186,1182,Córdoba,Calle 4746,4116.0,Córdoba,CBA
187,1183,Mar del Plata,Calle 8413,9344.0,Buenos Aires,BA
188,1184,Villa Carlos Paz,Calle 6568,4015.0,Córdoba,CBA
189,1185,CABA,Calle 9702,9254.0,Buenos Aires,BA
190,1186,CABA,Calle 4856,3803.0,Buenos Aires,BA
191,1187,CABA,Calle 4782,5550.0,Buenos Aires,BA
192,1188,CABA,Calle 4080,1022.0,Buenos Aires,BA
193,1189,Villa Carlos Paz,Calle 5318,3189.0,Córdoba,CBA
194,1190,Santa Fe,Calle 5319,6824.0,Santa Fe,SF
195,1191,Villa Carlos Paz,Calle 2896,7258.0,Córdoba,CBA
196,1192,Rafaela,Calle 9902,4614.0,Santa Fe,SF
197,1193,Mar del Plata,Calle 6480,8109.0,Buenos Aires,BA
198,1194,La Plata,Calle 1536,4031.0,Buenos Aires,BA
199,1195,La Plata,Calle 2956,6081.0,Buenos Aires,BA
200,1196,Santa Fe,Calle 9959,2180.0,Santa Fe,SF
201,1197,Mar del Plata,Calle 6595,1193.0,Buenos Aires,BA
202,1198,CABA,Calle 1803,3165.0,Buenos Aires,BA
203,1199,Santa Fe,Calle 2337,1153.0,Santa Fe,SF
204,1200,La Plata,Calle 1393,8279.0,Buenos Aires,BA
205,1201,La Plata,Calle 2532,9906.0,Buenos Aires,BA
206,1202,CABA,Calle 1685,9381.0,Buenos Aires,BA
207,1203,CABA,Calle 394,3414.0,Buenos Aires,BA
208,1204,Córdoba,Calle 6304,9057.0,Córdoba,CBA
209,1205,Mendoza,Calle 1667,6467.0,Mendoza,MZA
210,1206,CABA,Calle 711,8022.0,Buenos Aires,BA
211,1207,CABA,Calle 6968,5702.0,Buenos Aires,BA
212,1208,Santa Fe,Calle 8180,2251.0,Santa Fe,SF
213,1209,Rosario,Calle 2402,8318.0,Santa Fe,SF
214,1210,Rosario,Calle 9468,3370.0,Santa Fe,SF
215,1211,CABA,Calle 2980,9097.0,Buenos Aires,BA
216,1212,La Plata,Calle 9859,5028.0,Buenos Aires,BA
217,1213,La Plata,Calle 8827,7301.0,Buenos Aires,BA
218,1214,Villa Carlos Paz,Calle 8634,2429.0,Córdoba,CBA
219,1215,CABA,Calle 282,3188.0,Buenos Aires,BA
220,1216,La Plata,Calle 5913,3361.0,Buenos Aires,BA
221,1217,Godoy Cruz,Calle 3974,3257.0,Mendoza,MZA
222,1218,San Rafael,Calle 2345,7958.0,Mendoza,MZA
223,1219,CABA,Calle 9530,1494.0,Buenos Aires,BA
224,1220,CABA,Calle 4015,3452.0,Buenos Aires,BA
225,1221,CABA,Calle 8642,7742.0,Buenos Aires,BA
226,1222,Mar del Plata,Calle 217,1983.0,Buenos Aires,BA
227,1223,Córdoba,Calle 8246,7940.0,Córdoba,CBA
228,1224,Villa Carlos Paz,Calle 9373,7941.0,Córdoba,CBA
229,1225,CABA,Calle 8545,7560.0,Buenos Aires,BA
230,1226,CABA,Calle 9164,8821.0,Buenos Aires,BA
231,1227,Villa Carlos Paz,Calle 6234,7950.0,Córdoba,CBA
232,1228,CABA,Calle 1275,1459.0,Buenos Aires,BA
233,1229,Mar del Plata,Calle 1745,6064.0,Buenos Aires,BA
234,1230,Río Cuarto,Calle 531,1735.0,Córdoba,CBA
235,1231,Godoy Cruz,Calle 749,6056.0,Mendoza,MZA
236,1232,Godoy Cruz,Calle 6524,7400.0,Mendoza,MZA
237,1233,San Rafael,Calle 1596,9227.0,Mendoza,MZA
238,1234,La Plata,Calle 7815,3641.0,Buenos Aires,BA
239,1235,Córdoba,Calle 1529,3307.0,Córdoba,CBA
240,1236,San Rafael,Calle 8460,8331.0,Mendoza,MZA
241,1237,La Plata,Calle 7060,4917.0,Buenos Aires,BA
242,1238,San Rafael,Calle 1229,2595.0,Mendoza,MZA
243,1239,La Plata,Calle 8965,8451.0,Buenos Aires,BA
244,1240,La Plata,Calle 2646,6789.0,Buenos Aires,BA
245,1241,Mar del Plata,Calle 7549,8242.0,Buenos Aires,BA
246,1242,San Rafael,Calle 8000,7568.0,Mendoza,MZA
247,1243,Rafaela,Calle 2114,7122.0,Santa Fe,SF
248,1244,Río Cuarto,Calle 7375,1934.0,Córdoba,CBA
249,1245,Río Cuarto,Calle 131,7157.0,Córdoba,CBA
250,1246,Córdoba,Calle 3655,6716.0,Córdoba,CBA
251,1247,Mar del Plata,Calle 7617,2775.0,Buenos Aires,BA
252,1248,Rosario,Calle 6579,6610.0,Santa Fe,SF
253,1249,Mar del Plata,Calle 7803,1627.0,Buenos Aires,BA
254,1250,La Plata,Calle 2385,1513.0,Buenos Aires,BA
255,1251,La Plata,Calle 7047,4465.0,Buenos Aires,BA
256,1252,San Rafael,Calle 6930,2369.0,Mendoza,MZA
257,1253,La Plata,Calle 1339,7876.0,Buenos Aires,BA
258,1254,La Plata,Calle 3016,6603.0,Buenos Aires,BA
259,1255,La Plata,Calle 6867,8156.0,Buenos Aires,BA
260,1256,San Rafael,Calle 6376,2274.0,Mendoza,MZA
261,1257,Mar del Plata,Calle 5186,3416.0,Buenos Aires,BA
262,1258,Rosario,Calle 6659,8381.0,Santa Fe,SF
263,1259,Río Cuarto,Calle 9477,4074.0,Córdoba,CBA
264,1260,Córdoba,Calle 9846,4436.0,Córdoba,CBA
265,1261,San Rafael,Calle 236,5947.0,Mendoza,MZA
266,1262,CABA,Calle 8178,7723.0,Buenos Aires,BA
267,1263,Mar del Plata,Calle 6978,3880.0,Buenos Aires,BA
268,1264,CABA,Calle 9057,7251.0,Buenos Aires,BA
269,1265,Rafaela,Calle 7168,2435.0,Santa Fe,SF
270,1266,CABA,Calle 6739,8276.0,Buenos Aires,BA
271,1267,Córdoba,Calle 4750,8448.0,Córdoba,CBA
272,1268,CABA,Calle 7694,7765.0,Buenos Aires,BA
273,1269,La Plata,Calle 3669,5333.0,Buenos Aires,BA
274,1270,Santa Fe,Calle 3958,1254.0,Santa Fe,SF
275,1271,La Plata,Calle 8503,6490.0,Buenos Aires,BA
276,1272,Godoy Cruz,Calle 3963,7444.0,Mendoza,MZA
277,1273,Rafaela,Calle 7031,3846.0,Santa Fe,SF
278,1274,San Rafael,Calle 2596,3069.0,Mendoza,MZA
279,1275,Mar del Plata,Calle 6423,6282.0,Buenos Aires,BA
280,1276,CABA,Calle 7167,1455.0,Buenos Aires,BA
281,1277,Mendoza,Calle 9369,8433.0,Mendoza,MZA
282,1278,Mar del Plata,Calle 3634,7194.0,Buenos Aires,BA
283,1279,Villa Carlos Paz,Calle 1360,2694.0,Córdoba,CBA
284,1280,Mar del Plata,Calle 2011,5292.0,Buenos Aires,BA
285,1281,La Plata,Calle 5922,9045.0,Buenos Aires,BA
286,1282,La Plata,Calle 1251,7148.0,Buenos Aires,BA
287,1283,Villa Carlos Paz,Calle 2640,3927.0,Córdoba,CBA
288,1284,La Plata,Calle 5682,3595.0,Buenos Aires,BA
289,1285,Córdoba,Calle 3160,9486.0,Córdoba,CBA
290,1286,Rosario,Calle 5979,6366.0,Santa Fe,SF
291,1287,Mar del Plata,Calle 2074,4264.0,Buenos Aires,BA
292,1288,Mar del Plata,Calle 4823,8144.0,Buenos Aires,BA
293,1289,Mendoza,Calle 4098,7436.0,Mendoza,MZA
294,1290,Río Cuarto,Calle 5106,8101.0,Córdoba,CBA
295,1291,Mar del Plata,Calle 4452,7275.0,Buenos Aires,BA
296,1292,La Plata,Calle 6127,3740.0,Buenos Aires,BA
297,1293,Godoy Cruz,Calle 9616,7525.0,Mendoza,MZA
298,1294,La Plata,Calle 7036,2190.0,Buenos Aires,BA
299,1295,Villa Carlos Paz,Calle 2377,6219.0,Córdoba,CBA
300,1296,Córdoba,Calle 7625,2085.0,Córdoba,CBA
301,1297,CABA,Calle 8639,2225.0,Buenos Aires,BA
302,1298,Villa Carlos Paz,Calle 5207,1813.0,Córdoba,CBA
303,1299,La Plata,Calle 6902,3803.0,Buenos Aires,BA
304,1300,Córdoba,Calle 9444,1076.0,Córdoba,CBA
305,1301,La Plata,Calle 607,6527.0,Buenos Aires,BA
306,1302,CABA,Calle 6801,6196.0,Buenos Aires,BA
307,1303,Mar del Plata,Calle 5132,7444.0,Buenos Aires,BA
308,1304,Villa Carlos Paz,Calle 8083,2683.0,Córdoba,CBA
309,1305,CABA,Calle 2274,4708.0,Buenos Aires,BA
310,1306,Mar del Plata,Calle 6044,5254.0,Buenos Aires,BA
311,1307,La Plata,Calle 1230,5422.0,Buenos Aires,BA
312,1308,San Rafael,Calle 7549,3424.0,Mendoza,MZA
313,1309,Río Cuarto,Calle 2005,8830.0,Córdoba,CBA
314,1310,Godoy Cruz,Calle 7909,5853.0,Mendoza,MZA
315,1311,CABA,Calle 3374,9103.0,Buenos Aires,BA
316,1312,Mar del Plata,Calle 3542,8989.0,Buenos Aires,BA
317,1313,Mar del Plata,Calle 8645,8438.0,Buenos Aires,BA
318,1314,Rosario,Calle 2131,8412.0,Santa Fe,SF
319,1315,La Plata,Calle 3080,3690.0,Buenos Aires,BA
320,1316,San Rafael,Calle 1673,2805.0,Mendoza,MZA
321,1317,La Plata,Calle 3065,9698.0,Buenos Aires,BA
322,1318,CABA,Calle 9017,4474.0,Buenos Aires,BA
323,1319,La Plata,Calle 8322,5466.0,Buenos Aires,BA
324,1320,Mar del Plata,Calle 6268,5816.0,Buenos Aires,BA
325,1321,Mar del Plata,Calle 4521,9497.0,Buenos Aires,BA
326,1322,CABA,Calle 4079,1870.0,Buenos Aires,BA
327,1323,Córdoba,Calle 1079,4710.0,Córdoba,CBA
328,1324,CABA,Calle 3603,9112.0,Buenos Aires,BA
329,1325,CABA,Calle 5696,1050.0,Buenos Aires,BA
330,1326,Mar del Plata,Calle 7812,3789.0,Buenos Aires,BA
331,1327,Córdoba,Calle 3070,1208.0,Córdoba,CBA
332,1328,CABA,Calle 2909,1159.0,Buenos Aires,BA
333,1329,San Rafael,Calle 17,2792.0,Mendoza,MZA
334,1330,Rafaela,Calle 4763,3401.0,Santa Fe,SF
335,1331,Mar del Plata,Calle 5500,9940.0,Buenos Aires,BA
336,1332,Villa Carlos Paz,Calle 5969,5933.0,Córdoba,CBA
337,1333,Rafaela,Calle 9761,9508.0,Santa Fe,SF
338,1334,La Plata,Calle 3609,9156.0,Buenos Aires,BA
339,1335,Mar del Plata,Calle 7057,4175.0,Buenos Aires,BA
340,1336,Villa Carlos Paz,Calle 8928,5346.0,Córdoba,CBA
341,1337,Santa Fe,Calle 9653,4122.0,Santa Fe,SF
342,1338,Río Cuarto,Calle 5625,8455.0,Córdoba,CBA
343,1339,CABA,Calle 8175,3461.0,Buenos Aires,BA
344,1340,San Rafael,Calle 9145,8976.0,Mendoza,MZA
345,1341,La Plata,Calle 256,5636.0,Buenos Aires,BA
346,1342,La Plata,Calle 84,1817.0,Buenos Aires,BA
347,1343,La Plata,Calle 8225,2409.0,Buenos Aires,BA
348,1344,Mar del Plata,Calle 3224,5764.0,Buenos Aires,BA
349,1345,La Plata,Calle 4076,7923.0,Buenos Aires,BA
350,1346,Mendoza,Calle 4281,3839.0,Mendoza,MZA
351,1347,La Plata,Calle 9473,5096.0,Buenos Aires,BA
352,1348,CABA,Calle 4933,8555.0,Buenos Aires,BA
353,1349,La Plata,Calle 1574,6132.0,Buenos Aires,BA
354,1350,San Rafael,Calle 5859,8643.0,Mendoza,MZA
355,1351,Godoy Cruz,Calle 454,2448.0,Mendoza,MZA
356,1352,Villa Carlos Paz,Calle 3976,3085.0,Córdoba,CBA
357,1353,Santa Fe,Calle 878,1097.0,Santa Fe,SF
358,1354,Rafaela,Calle 7541,5426.0,Santa Fe,SF
359,1355,CABA,Calle 4761,1997.0,Buenos Aires,BA
360,1356,Río Cuarto,Calle 8370,4359.0,Córdoba,CBA
361,1357,Mar del Plata,Calle 8116,5929.0,Buenos Aires,BA
362,1358,Córdoba,Calle 7946,2879.0,Córdoba,CBA
363,1359,Mar del Plata,Calle 1984,4347.0,Buenos Aires,BA
364,1360,Mar del Plata,Calle 7272,5913.0,Buenos Aires,BA
365,1361,CABA,Calle 3850,3018.0,Buenos Aires,BA
366,1362,CABA,Calle 3028,3797.0,Buenos Aires,BA
367,1363,Río Cuarto,Calle 3283,5742.0,Córdoba,CBA
368,1364,Godoy Cruz,Calle 6019,7321.0,Mendoza,MZA
369,1365,La Plata,Calle 2428,2968.0,Buenos Aires,BA
370,1366,Mar del Plata,Calle 4961,1698.0,Buenos Aires,BA
371,1367,Godoy Cruz,Calle 7510,6861.0,Mendoza,MZA
372,1368,Rafaela,Calle 3454,9405.0,Santa Fe,SF
373,1369,CABA,Calle 5765,8528.0,Buenos Aires,BA
374,1370,Mar del Plata,Calle 4964,7168.0,Buenos Aires,BA
375,1371,Córdoba,Calle 9438,3120.0,Córdoba,CBA
376,1372,Río Cuarto,Calle 5704,2107.0,Córdoba,CBA
377,1373,Mar del Plata,Calle 2608,9182.0,Buenos Aires,BA
378,1374,CABA,Calle 3877,7882.0,Buenos Aires,BA
379,1375,La Plata,Calle 1876,8234.0,Buenos Aires,BA
380,1376,Córdoba,Calle 2852,7187.0,Córdoba,CBA
381,1377,San Rafael,Calle 9118,9046.0,Mendoza,MZA
382,1378,Córdoba,Calle 3297,9659.0,Córdoba,CBA
383,1379,CABA,Calle 1577,1085.0,Buenos Aires,BA
384,1380,Rafaela,Calle 8956,9653.0,Santa Fe,SF
385,1381,CABA,Calle 9345,6840.0,Buenos Aires,BA
386,1382,Rosario,Calle 7191,2161.0,Santa Fe,SF
387,1383,Mar del Plata,Calle 4887,4777.0,Buenos Aires,BA
388,1384,Villa Carlos Paz,Calle 370,7396.0,Córdoba,CBA
389,1385,CABA,Calle 4720,9482.0,Buenos Aires,BA
390,1386,Mar del Plata,Calle 929,8716.0,Buenos Aires,BA
391,1387,Córdoba,Calle 5539,6481.0,Córdoba,CBA
392,1388,Mar del Plata,Calle 5401,9086.0,Buenos Aires,BA
393,1389,Rafaela,Calle 9995,2159.0,Santa Fe,SF
394,1390,Río Cuarto,Calle 1321,5432.0,Córdoba,CBA
395,1391,La Plata,Calle 8317,8069.0,Buenos Aires,BA
396,1392,CABA,Calle 352,9752.0,Buenos Aires,BA
397,1393,Río Cuarto,Calle 297,7342.0,Córdoba,CBA
398,1394,Villa Carlos Paz,Calle 6994,8175.0,Córdoba,CBA
399,1395,Santa Fe,Calle 5764,1949.0,Santa Fe,SF
400,1396,Mar del Plata,Calle 165,1244.0,Buenos Aires,BA
401,1397,Rosario,Calle 929,5630.0,Santa Fe,SF
402,1398,Mar del Plata,Calle 4002,8843.0,Buenos Aires,BA
403,1399,Córdoba,Calle 4100,6848.0,Córdoba,CBA
404,1400,La Plata,Calle 6012,9631.0,Buenos Aires,BA
405,1401,Mar del Plata,Calle 8249,7731.0,Buenos Aires,BA
406,1402,CABA,Calle 2247,4453.0,Buenos Aires,BA
407,1403,CABA,Calle 588,8434.0,Buenos Aires,BA
408,1404,CABA,Calle 4429,5921.0,Buenos Aires,BA
409,1405,Mar del Plata,Calle 6291,7302.0,Buenos Aires,BA
